benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
smoke_kuramoto_seed1,lstm,CARLA,0,0,3.0641557134433004,1.0313835380208816,0.84,0.0,0.8333333333333334,0.6960430788497646,0.8468831307755673,25,0,1.0,0.9999993560386595,0.0,0.8833380506885231,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,1,0,2.964042746491832,0.7630710629247205,0.84,0.0,0.8333333333333334,0.7821707732473596,0.9264178213031352,25,0,1.0,0.99999938265659,0.0,0.8941934878211268,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,2,0,8.058570460991756,2.6793818958161166,0.8333333333333334,0.0,0.8333333333333334,0.361636520644857,0.9397313212285227,25,0,1.0,0.9999996262072094,0.0,0.9241401813308145,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,3,0,4.330901298942243,1.2474467984364943,0.8333333333333334,0.0,0.8333333333333334,0.6440726908862056,0.9067806827841365,25,0,1.0,0.9999994308402113,0.0,0.842133891786263,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,4,0,2.4873380520868436,0.7179349288021385,0.84,0.0,0.8333333333333334,0.6394756004233825,0.9007626935554287,25,0,1.0,0.9999994010318419,0.0,0.9083383125723985,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,5,1,8.000913491753636,2.256379364777128,0.8333333333333334,0.0,0.8333333333333334,0.4349023274204097,0.8984243035256457,25,0,1.0,0.9999994537718939,0.0,0.8728370523496194,1.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,6,0,3.4963376896528757,0.9651819998239705,0.8333333333333334,0.0,0.8333333333333334,0.47469410523876526,0.7460788040846579,25,0,1.0,0.9999993920646842,0.0,0.8694090500082303,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,7,0,10.63908839319413,3.1046539282715324,0.8333333333333334,0.0,0.8333333333333334,0.3501569836302247,0.7910443376376963,25,0,1.0,0.9999994628690447,0.0,0.8909769764095694,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,8,0,5.249375819970119,1.3543841290681935,0.8533333333333334,0.0,0.8333333333333334,0.6083740494038545,0.9844296057723831,25,0,1.0,0.9999993541616764,0.0,0.8108713825413731,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,9,1,5.702127546725056,1.3885899900907175,0.8333333333333334,0.0,0.8333333333333334,0.46298738231116365,0.7462911441875887,25,0,1.0,0.9999994497190519,0.0,0.9089209870241987,1.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,10,1,6.264773167173804,1.728559555750643,0.8333333333333334,0.0,0.8333333333333334,0.6123805025586564,0.8663595617774487,25,0,1.0,0.9999995226091745,0.0,0.8705389399482838,1.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,11,0,3.585437763968399,0.9625952398803279,0.8333333333333334,0.0,0.8333333333333334,0.6318599096354965,0.9195751686332396,25,0,1.0,0.9999995161315126,0.0,0.8689619528046746,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,12,0,11.180291215061368,3.1249888469068337,0.8333333333333334,0.0,0.8333333333333334,0.3817247329758009,0.9910371402725495,25,0,1.0,0.9999993188881358,0.0,0.8108905050410657,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,13,0,6.558573888628178,1.8778813806281847,0.8333333333333334,0.0,0.8333333333333334,0.4728684728105547,0.9398368707032396,25,0,1.0,0.999999358993378,0.0,0.9082423640767281,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,14,0,3.091589627467153,0.7193821605486731,0.8333333333333334,0.0,0.8333333333333334,0.9899494632843623,0.8867894689620154,25,0,1.0,0.9999993677651392,0.0,0.8940324600325701,0.0,0.0,5,25,29,4
smoke_kuramoto_seed1,lstm,CARLA,15,0,4.718706298807677,1.3577550728512935,0.8333333333333334,0.0,0.8333333333333334,0.49991962070458285,0.8188344874156384,25,0,1.0,0.9999993133187727,0.0,0.8331128329638379,0.0,0.0,5,25,29,4
