method,instance,validity,proximity_l1,proximity_l2,sparsity,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft
CftsWachter,0,1,73.04679280423764,9.46680949049965,0.0,0,0.0,0.7529262090494407,0.0,0.6404404010103627
CftsWachter,1,1,79.39896362342225,8.946666436434477,0.0,0,0.0,0.7712123914334157,0.0,0.615760788836122
CftsWachter,2,1,53.45214653862381,6.095429008603887,0.0,0,0.0,0.7383578377226748,0.0,0.7073742505043213
CftsWachter,3,1,56.90291593168981,6.795374469471947,0.0,0,0.0,0.7551794498899623,0.0,0.7090022255417917
CftsWachter,4,1,63.94686104260837,7.88562146155935,0.0,0,0.0,0.7547815146054997,0.0,0.6935636072042964
CftsWachter,5,1,64.18862692573977,7.0223425294808735,0.0,0,0.0,0.7659865595642744,0.0,0.727820262504739
CftsWachter,6,1,75.63832560594697,9.594528911668199,0.0,0,0.0,0.7535612284402529,0.0,0.6121847798368812
CftsWachter,7,1,56.32984055442297,6.810749385812626,0.0,0,0.0,0.7822572606360289,0.0,0.7079495404703625
CftsWachter,8,1,64.26382087843415,7.812579015659428,0.0,0,0.0,0.7897471576592243,0.0,0.713046889792095
CftsWachter,9,1,61.07668288596,6.9989858816975845,0.0,0,0.0,0.7012684943198183,0.0,0.6806088967135894
CftsWachter,10,1,66.05546521651652,7.706266864748086,0.0,0,0.0,0.7122942719871446,0.0,0.6838720758593465
CftsWachter,11,1,72.2162765130306,8.727818472624282,0.0,0,0.0,0.7704013805314454,0.0,0.6444670815325912
CftsWachter,12,1,76.00095079502506,9.393128212648291,0.0,0,0.0,0.6752138712039583,0.0,0.6069610656554263
CftsWachter,13,1,69.05540829289976,8.572962690900594,0.0,0,0.0,0.7324434150546699,0.0,0.7456113717151418
CftsWachter,14,1,66.33137128654391,7.551775914110426,0.0,0,0.0,0.7586282815234334,0.0,0.6437788409316356
CftsWachter,15,1,69.36080574778904,7.8022400202483295,0.0,0,0.0,0.7489099356046023,0.0,0.6952494078037333
CftsWachter,16,1,103.7146544733266,11.59483241619119,0.0,0,0.0,0.6760996410823392,0.0,0.5283883824666015
CftsWachter,17,1,49.737737517461625,5.928227619300837,0.0,0,0.0,0.8166287130880439,0.0,0.7380659996634342
CftsWachter,18,1,77.02201533991268,9.003784752189974,0.0,0,0.0,0.7613497304614183,0.0,0.6562023501496365
CftsWachter,19,1,78.24853552956918,9.201303384635784,0.0,0,0.0,0.6348162605255505,0.0,0.6009499867527162
