method,instance,validity,proximity_l1,proximity_l2,sparsity,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft
Wachter,0,1,26.875080255852644,0.8592563357249631,0.0,0,0.0,0.7811438034449757,0.0,0.9736492403065913
Wachter,1,1,26.875782180330653,0.8567301336237214,0.0,0,0.0,0.7544734901508028,0.0,0.9736586475263469
Wachter,2,1,26.884061325287835,0.8574760013369991,0.0,0,0.0,0.736144726834736,0.0,0.9734714203485745
Wachter,3,1,26.828598874475333,0.8533242086298233,0.0,0,0.0,0.7518251230349402,0.0,0.973895984145358
Wachter,4,0,27.197013671513986,0.8666682794555914,0.0,0,0.0,0.7807284587177648,0.0,0.9730072378902526
Wachter,5,1,26.69103905134926,0.8490366661123895,0.0,0,0.0,0.7867488371847106,0.0,0.9738936164802251
Wachter,6,1,26.59554239831051,0.8470003690379034,0.0,0,0.0,0.7893933333961406,0.0,0.974086111054376
Wachter,7,1,27.05938044584471,0.8640785243249973,0.0,0,0.0,0.7852688487925746,0.0,0.9734963859364875
Wachter,8,1,26.80467339086537,0.8539659847773884,0.0,0,0.0,0.7569200150805785,0.0,0.9739161457194786
Wachter,9,0,27.128404185371316,0.8673849664598089,0.0,0,0.0,0.7358020483908816,0.0,0.9732255452220627
Wachter,10,0,27.366785052180546,0.8804612063710076,0.0,0,0.0,0.7786292638273656,0.0,0.9732124917014993
Wachter,11,1,26.698241347208672,0.8477947915205851,0.0,0,0.0,0.7778770177196871,0.0,0.973955598824211
Wachter,12,1,26.643159002274025,0.8463079970539774,0.0,0,0.0,0.7602714101308576,0.0,0.9738761623934213
Wachter,13,1,26.54150966127315,0.8413111963561908,0.0,0,0.0,0.7988763459169032,0.0,0.9740292632648233
Wachter,14,0,27.023692913095907,0.8615066824385778,0.0,0,0.0,0.7400582569910324,0.0,0.9735107823955115
Wachter,15,1,26.800070099422975,0.8570456283662852,0.0,0,0.0,0.7655055679910492,0.0,0.9736855745402714
Wachter,16,1,26.82102929261032,0.8525570519266513,0.0,0,0.0,0.7836218712836568,0.0,0.9736466262751748
Wachter,17,1,26.965716156341337,0.8596317305761008,0.0,0,0.0,0.7798682578174326,0.0,0.9733027736372108
Wachter,18,0,27.150407524358503,0.8683518461039682,0.0,0,0.0,0.7587666504802647,0.0,0.973596305523931
Wachter,19,0,27.385429147378478,0.8803215808292322,0.0,0,0.0,0.7817983351347426,0.0,0.9731493892357792
Wachter,20,1,26.790717332430166,0.855689261432123,0.0,0,0.0,0.7872611832163169,0.0,0.9737829220977837
Wachter,21,0,27.021615879683367,0.862751334904719,0.0,0,0.0,0.7563658315960073,0.0,0.9734189392147944
Wachter,22,1,26.6786113005255,0.8500696325759369,0.0,0,0.0,0.8000407729505521,0.0,0.9740272440634717
Wachter,23,0,27.214905294331416,0.8711660576491704,0.0,0,0.0,0.7681862182505382,0.0,0.9734648656863433
Wachter,24,1,26.713180259966983,0.8531870025583028,0.0,0,0.0,0.7639684562431688,0.0,0.9735607719928556
Wachter,25,1,26.886041920803798,0.860250165022767,0.0,0,0.0,0.780644227467415,0.0,0.9735493163134209
Wachter,26,1,26.83051751496611,0.8556048754248107,0.0,0,0.0,0.7857903895586973,0.0,0.9738968692590079
Wachter,27,1,27.10442664274241,0.8682843439741287,0.0,0,0.0,0.7704943172620276,0.0,0.9732262200465781
Wachter,28,1,26.949925069372828,0.8585333159029127,0.0,0,0.0,0.7687143153090308,0.0,0.9736325747390406
Wachter,29,1,27.3222945738707,0.8734453783000663,0.0,0,0.0,0.7901243633079199,0.0,0.9732310127590257
Wachter,30,1,26.600492246852834,0.8454770688476915,0.0,0,0.0,0.7848400124360949,0.0,0.9738472004595917
Wachter,31,1,27.043057541296996,0.8662299775748032,0.0,0,0.0,0.779472524323699,0.0,0.9737151449064183
Wachter,32,1,26.90594208513643,0.8576372714174133,0.0,0,0.0,0.7934003097619371,0.0,0.9732677147126522
Wachter,33,1,26.981381837361255,0.8597067509157146,0.0,0,0.0,0.767544199035857,0.0,0.9734657242742372
Wachter,34,1,26.831204141023402,0.85573456175271,0.0,0,0.0,0.7657692341094893,0.0,0.9739244022927386
Wachter,35,1,26.81973815775053,0.853728392273861,0.0,0,0.0,0.7538210318357946,0.0,0.9736977356358422
Wachter,36,1,26.76903961557312,0.8516786028396571,0.0,0,0.0,0.7748417697929033,0.0,0.9740073045881765
Wachter,37,1,27.107873165275862,0.8695284704633214,0.0,0,0.0,0.7812832033016468,0.0,0.9737021813741903
Wachter,38,1,26.86924850870975,0.8558565700808659,0.0,0,0.0,0.7784195306755428,0.0,0.9736595857404885
Wachter,39,1,26.92013644851454,0.8574829760615855,0.0,0,0.0,0.7706509811361067,0.0,0.9736833873344422
Wachter,40,1,26.80063549549922,0.8525461104875955,0.0,0,0.0,0.7553270998907435,0.0,0.9732785715727705
Wachter,41,0,27.251298240993673,0.8695097002007377,0.0,0,0.0,0.7727244996931435,0.0,0.973538248070489
Wachter,42,1,26.685160802784786,0.847777228729013,0.0,0,0.0,0.7739664763825048,0.0,0.9736913253076082
Wachter,43,0,27.201545194213622,0.8701330493567513,0.0,0,0.0,0.772861062752118,0.0,0.9734339479035785
Wachter,44,1,26.617651131538246,0.8443382891547987,0.0,0,0.0,0.7736939383016551,0.0,0.9739859361667023
Wachter,45,1,26.713640435244702,0.8512946021193908,0.0,0,0.0,0.7771488577472918,0.0,0.9736658060518465
Wachter,46,1,26.605958842434404,0.8436625529752622,0.0,0,0.0,0.8013903169685446,0.0,0.9739832202551744
Wachter,47,1,26.78934255186326,0.8574040332136208,0.0,0,0.0,0.770858202444995,0.0,0.9735944822923197
Wachter,48,1,26.708911669189376,0.8485900378586185,0.0,0,0.0,0.7714222796646829,0.0,0.973689665760228
Wachter,49,0,27.08269208160091,0.8679103123917585,0.0,0,0.0,0.7522990404967903,0.0,0.9733336235000531
Wachter,50,1,26.444569660847456,0.8412426860315214,0.0,0,0.0,0.7804348268513255,0.0,0.9743407489865609
Wachter,51,0,26.99648631898409,0.8594609191778281,0.0,0,0.0,0.7345677091746828,0.0,0.9734239916347357
Wachter,52,0,26.986195823037725,0.8599470827603521,0.0,0,0.0,0.7782369162933748,0.0,0.97362843913207
