benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_seed3,lstm,CARLA,0,1,28.400343235503414,3.769984098870563,0.26666666666666666,0.0,0.26666666666666666,1.5993026403278103,8,0,1.0,0.9999999905474081,0.0,0.8177360077174318,1.0,0.0
smoke_seed3,lstm,CARLA,1,1,15.35767314664626,2.3177128597650953,0.5066666666666667,0.0,0.5,1.827609076549656,15,0,1.0,0.9999999948253862,0.0,0.8610691299631995,1.0,0.0
smoke_seed3,lstm,CARLA,2,1,18.386987405053794,2.935788466218917,0.5066666666666667,0.0,0.5,1.2369724827602773,15,0,1.0,0.9999999824231754,0.0,0.8724230343560407,1.0,0.0
smoke_seed3,lstm,CARLA,3,1,12.75603945683103,2.0357142143140936,0.52,0.0,0.5,1.1746824411284982,15,0,1.0,0.9999999893025927,0.0,0.8441633841315948,1.0,0.0
smoke_seed3,lstm,CARLA,4,1,22.151341574033157,2.827038138551137,0.2733333333333333,0.0,0.26666666666666666,1.6063446031082238,8,0,1.0,0.9999999938218113,0.0,0.8617265443301118,1.0,0.0
smoke_seed3,lstm,CARLA,5,1,11.68781457403319,1.8251831033356618,0.5,0.0,0.5,1.6183388968354273,15,0,1.0,0.999999993955204,0.0,0.8633532442538283,1.0,0.0
smoke_seed3,lstm,CARLA,6,1,16.593353323430062,2.692638672742178,0.5,0.0,0.5,1.4196769326620533,15,0,1.0,0.9999999955599096,0.0,0.887913767162712,1.0,0.0
smoke_seed3,lstm,CARLA,7,1,12.00433898269516,1.8595792312111035,0.5066666666666667,0.0,0.5,1.418410232863982,15,0,1.0,0.9999999904527808,0.0,0.842507272266828,1.0,0.0
smoke_seed3,lstm,CARLA,8,1,25.454127565721386,3.1131421724855155,0.2733333333333333,0.0,0.26666666666666666,1.8022792354835528,8,0,1.0,0.9999999849931629,0.0,0.8292349280799081,1.0,0.0
smoke_seed3,lstm,CARLA,9,1,17.83182834090561,2.736672191811985,0.5,0.0,0.5,1.482497233874461,15,0,1.0,0.9999999906895709,0.0,0.8424268306293781,1.0,0.0
smoke_seed3,lstm,CARLA,10,1,24.248557128310683,3.7237871609162454,0.5066666666666667,0.0,0.5,1.7631910324971563,15,0,1.0,0.9999999930224609,0.0,0.8100622138065569,1.0,0.0
smoke_seed3,lstm,CARLA,11,1,17.050713457633467,2.6611597277053463,0.5133333333333333,0.0,0.5,1.8484417210307291,15,0,1.0,0.9999999904973363,0.0,0.8458243839846944,1.0,0.0
smoke_seed3,lstm,CARLA,12,1,15.221859011800774,2.3269110453965505,0.5,0.0,0.5,1.7969459801860408,15,0,1.0,0.9999999836611024,0.0,0.883589215050436,1.0,0.0
smoke_seed3,lstm,CARLA,13,1,30.429440478588596,3.9354020165477777,0.26666666666666666,0.0,0.26666666666666666,1.7717517771088676,8,0,1.0,0.9999999910026564,0.0,0.8076173583636729,1.0,0.0
smoke_seed3,lstm,CARLA,14,1,17.040530038573245,2.6244086144312213,0.5,0.0,0.5,1.5934595196713492,15,0,1.0,0.9999999923759357,0.0,0.8724104036930429,1.0,0.0
smoke_seed3,lstm,CARLA,15,1,14.237563900992726,2.1724855921915935,0.5,0.0,0.5,1.7315528996093181,15,0,1.0,0.9999999875552985,0.0,0.8777829091896485,1.0,0.0
smoke_seed3,lstm,CARLA,16,1,22.760160263048295,3.477914744435404,0.2733333333333333,0.0,0.26666666666666666,1.5857420467470627,8,0,1.0,0.9999999875713382,0.0,0.8694380803652738,1.0,0.0
smoke_seed3,lstm,CARLA,17,1,14.244619516867658,2.1579563367170778,0.5,0.0,0.5,1.3378593129490048,15,0,1.0,0.9999999898165417,0.0,0.8715773230991937,1.0,0.0
smoke_seed3,lstm,CARLA,18,1,14.085341221312339,2.1302016679813125,0.5,0.0,0.5,1.490931938663364,15,0,1.0,0.9999999914162787,0.0,0.8804643552772475,1.0,0.0
smoke_seed3,lstm,CARLA,19,1,21.03889420451197,2.662310661891429,0.2866666666666667,0.0,0.26666666666666666,1.3061837516227817,8,0,1.0,0.9999999865356519,0.0,0.8663555257774626,1.0,0.0
smoke_seed3,lstm,CftsCels,0,1,0.6888086924287108,0.3717129711329374,0.7133333333333334,0.0,0.5666666666666667,1.277627678782751,17,0,0.0,0.8800397076982348,0.0,0.9896738796217425,0.0,0.0
smoke_seed3,lstm,CftsCels,1,1,0.7573312489386389,0.383391919038858,0.72,0.0,0.5,1.3014324947977378,10,0,0.0,0.882097644297013,0.0,0.9924604159929903,0.0,0.0
smoke_seed3,lstm,CftsCels,2,1,1.439757909164678,0.9386532727851936,0.7,0.0,0.5666666666666667,1.2446922342418287,16,0,0.0,0.8613140904810185,0.0,0.9797828746330658,0.0,0.0
smoke_seed3,lstm,CftsCels,3,1,0.8075382276679431,0.4777666848202418,0.6933333333333334,0.0,0.4666666666666667,1.0725293439732415,11,0,0.0,0.8449347771328471,0.0,0.9915979331331898,0.0,0.0
smoke_seed3,lstm,CftsCels,4,1,1.0021344418010698,0.5192916307367839,0.7066666666666667,0.0,0.4666666666666667,0.9677055099455963,14,0,0.0,0.8573985246585953,0.0,0.9876652039146335,0.0,0.0
smoke_seed3,lstm,CftsCels,5,1,0.5402421889043914,0.20742110606910064,0.6733333333333333,0.0,0.43333333333333335,1.2167387676241306,11,0,0.0,0.8587102710920889,0.0,0.9943752118319984,0.0,0.0
smoke_seed3,lstm,CftsCels,6,1,0.8098642850299314,0.28691801822892105,0.6866666666666666,0.0,0.4,0.775060086839368,10,0,0.0,0.8732687151095149,0.0,0.9920408471639334,0.0,0.0
smoke_seed3,lstm,CftsCels,7,1,0.7509375741974615,0.5278423982328233,0.7866666666666666,0.0,0.5666666666666667,1.0497250574317245,17,0,0.0,0.8469562185192687,0.0,0.9886207455567456,0.0,0.0
smoke_seed3,lstm,CftsCels,8,1,1.6726736781739187,0.3620919146137895,0.7866666666666666,0.0,0.43333333333333335,1.567676874247508,7,0,0.0,0.8288194510744613,0.0,0.9855648938875877,0.0,0.0
smoke_seed3,lstm,CftsCels,9,1,1.258434348996126,0.25604644066862803,0.47333333333333333,0.0,0.06666666666666667,1.0643654236011733,1,0,0.0,0.8425173873794215,0.0,0.9910324263585016,0.0,0.0
