benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full,oracle,OracleCF-Pearl,0,,34.093137012659646,4.300357447445162,0.585,0.0,0.5,1.5596695956034428,50,0.0,0.7693758011998245,1.0,0.999999993436957,,
full,oracle,OracleCF-Pearl,1,,25.050157537756334,3.328762698964789,0.59,0.0,0.5,1.2787621772001254,50,0.0,0.7862710957280638,1.0,0.9999999944157973,,
full,oracle,OracleCF-Pearl,2,,1.5000061521568848,1.4999999495395795,0.999,0.9,0.99,2.0202009185800973,50,0.0,0.7681219809076038,1.0,0.9999999933161955,,
full,oracle,OracleCF-Pearl,3,,20.247569498942934,2.5397532108638785,0.569,0.0,0.5,1.5339156520323103,50,0.0,0.7800849080794008,1.0,0.9999999938426196,,
full,oracle,OracleCF-Pearl,4,,37.707401792524365,4.407198288151332,0.568,0.0,0.5,1.56517085940893,50,0.0,0.745588663022408,1.0,0.9999999918564655,,
full,oracle,OracleCF-Pearl,5,,27.98973718287253,3.530416741983269,0.577,0.0,0.5,1.251436219786957,50,0.0,0.7584965087445499,1.0,0.9999999925779296,,
full,oracle,OracleCF-Pearl,6,,21.21769422505412,2.8936328258560717,0.575,0.0,0.5,1.5201811161988463,50,0.0,0.7780412619187449,1.0,0.9999999936452624,,
full,oracle,OracleCF-Pearl,7,,38.503387669795224,4.388068102250142,0.548,0.0,0.5,1.660138786015353,50,0.0,0.751688188922091,1.0,0.999999992367221,,
full,oracle,OracleCF-Pearl,8,,47.961111831584695,5.240328609587663,0.53,0.0,0.5,1.5032084949448714,50,0.0,0.7955037101715382,1.0,0.9999999927247973,,
full,oracle,OracleCF-Pearl,9,,39.19717413225595,4.4427843016001,0.57,0.0,0.5,1.6835411994667702,50,0.0,0.7815462730521681,1.0,0.9999999932763134,,
full,oracle,OracleCF-Pearl,10,,34.09313694364442,4.300357448033496,0.585,0.0,0.5,1.5596695851562916,50,0.0,0.7887146093729174,1.0,0.9999999924137117,,
full,oracle,OracleCF-Pearl,11,,25.05015798437632,3.3287627568774747,0.59,0.0,0.5,1.2787621857171274,50,0.0,0.7866716329523188,1.0,0.9999999939944547,,
full,oracle,OracleCF-Pearl,12,,1.5000054790824693,1.5000000222284078,0.999,0.9,0.99,2.020200978926902,50,0.0,0.7849755851098364,1.0,0.9999999947226544,,
full,oracle,OracleCF-Pearl,13,,20.247569648701038,2.5397532760244426,0.569,0.0,0.5,1.5339156615126124,50,0.0,0.779395781754874,1.0,0.9999999932835503,,
full,oracle,OracleCF-Pearl,14,,37.70739971295887,4.407198287950824,0.568,0.0,0.5,1.565170871193577,50,0.0,0.7645791974531762,1.0,0.999999993179039,,
full,oracle,OracleCF-Pearl,15,,27.989737639354257,3.530416721793716,0.577,0.0,0.5,1.251436228645702,50,0.0,0.7645801085478765,1.0,0.9999999933196265,,
full,oracle,OracleCF-Pearl,16,,21.217694478011285,2.8936327933242856,0.575,0.0,0.5,1.5201811150741062,50,0.0,0.7157295490084162,1.0,0.9999999915897825,,
full,oracle,OracleCF-Pearl,17,,38.5033874471874,4.388068088670623,0.548,0.0,0.5,1.6601387916148829,50,0.0,0.7966963604488617,1.0,0.9999999939453756,,
full,oracle,OracleCF-Pearl,18,,47.96111110948921,5.240328558025135,0.53,0.0,0.5,1.5032085035496972,50,0.0,0.7774648402923946,1.0,0.9999999923771405,,
full,oracle,OracleCF-Pearl,19,,39.19717423384121,4.442784348579776,0.57,0.0,0.5,1.6835412015003428,50,0.0,0.7826862804042047,1.0,0.9999999930950806,,
full,oracle,OracleCF-Pearl,20,,34.09313799532865,4.30035753503831,0.585,0.0,0.5,1.5596696004066737,50,0.0,0.7820561513319264,1.0,0.9999999934605013,,
