benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_interior_label_late_seed0,lstm,CARLA,0,1,125.00218587540168,7.944675484192488,0.508,0.0,0.5,1.34351607075627,0.5202646128610313,50,0,1.0,0.9999999965494789,0.0,0.7809413302809219,1.0,0.0
full_interior_label_late_seed0,lstm,CARLA,1,1,114.47428303394165,7.672567444439079,0.505,0.0,0.5,1.4011283696157761,0.5404469375090343,50,0,1.0,0.9999999794941028,0.0,0.7987201179151122,1.0,0.0
full_interior_label_late_seed0,lstm,CARLA,2,1,92.224325520807,6.161629113158515,0.504,0.0,0.5,1.3746851048879751,0.46879954934028467,50,0,1.0,0.9999999985057787,0.0,0.831169701814821,1.0,0.0
full_interior_label_late_seed0,lstm,CARLA,3,0,180.01248675464132,9.530580324783973,0.26,0.0,0.25,1.3265614800686083,0.23994487367993014,25,0,1.0,0.9999999991446749,0.0,0.7863186678646967,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,4,1,195.2689700164133,10.534682619386354,0.256,0.0,0.25,1.3825398301912448,0.24602957331721184,25,0,1.0,0.9999999962598701,0.0,0.7708546135392973,1.0,0.0
full_interior_label_late_seed0,lstm,CARLA,5,0,151.88813875243582,8.339320896548676,0.265,0.0,0.25,1.3560410050595575,0.24180286091447487,25,0,1.0,0.9999999991951115,0.0,0.8167633356487314,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,6,0,146.89015766241684,7.779941838117238,0.26,0.0,0.25,1.4048349687011816,0.23311126057276202,25,0,1.0,0.9999999935436297,0.0,0.822131882147763,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,7,0,191.5051051467759,10.039325031593647,0.259,0.0,0.25,1.3475625370513107,0.25255978051950234,25,0,1.0,0.9999999921382157,0.0,0.7745611514301413,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,8,0,197.04806003932202,10.554503487913719,0.258,0.0,0.25,1.3931785122884095,0.2693381680204195,25,0,1.0,0.999999995859611,0.0,0.7690809304185366,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,9,1,101.15999905780274,6.458939566996775,0.504,0.0,0.5,1.371928154558453,0.5016395634650326,50,0,1.0,0.9999999961374167,0.0,0.8150375117055144,1.0,0.0
full_interior_label_late_seed0,lstm,CARLA,10,0,191.50899916967546,10.494513802677957,0.26,0.0,0.25,1.2983899055070183,0.2748682116280385,25,0,1.0,0.9999999983362499,0.0,0.7747021018053056,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,11,0,188.12423643343973,9.75678267384615,0.258,0.0,0.25,1.235144635712077,0.22473057440119265,25,0,1.0,0.9999999987850685,0.0,0.7781927256528396,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,12,0,204.09368529699694,10.44713416060343,0.26,0.0,0.25,1.3335319276414033,0.26035623095039,25,0,1.0,0.9999999963543799,0.0,0.7622509202748196,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,13,0,177.47172169020413,9.390730668468285,0.258,0.0,0.25,1.342556559980376,0.25356982657818633,25,0,1.0,0.9999999982209383,0.0,0.7893415517111517,0.0,0.0
full_interior_label_late_seed0,lstm,CARLA,14,1,119.97999507725868,8.251445220631823,0.505,0.0,0.5,1.4653435600529199,0.4960052283551398,50,0,1.0,0.9999999922871571,0.0,0.7863732751897953,1.0,0.0
full_interior_label_late_seed0,lstm,CARLA,15,1,186.0746172174912,9.62407112189263,0.258,0.0,0.25,1.3555263172882586,0.2666654689756435,25,0,1.0,0.9999999910139242,0.0,0.7799100620460026,1.0,0.0
full_interior_label_late_seed0,lstm,CARLA,16,1,132.5010613666221,8.970518649185271,0.504,0.0,0.5,1.3260460909809644,0.4508796994523738,50,0,1.0,0.9999999937512277,0.0,0.7703175191450551,1.0,0.0
