benchmark,classifier,method,n,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,n_cf_faith_scorable,frac_degenerate,n_vacuous,frac_vacuous,n_no_cf_found,frac_no_cf_found,do_complexity_mean_all,do_complexity_mean_pearl_scorable,n_do_scorable,frac_no_do_schedule,do_complexity_mean,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid,frac_altered,ood,do_complexity_median,do_complexity_stability
full_nl,oracle,OracleCF-Rollout,100,0.41,83.92008386435823,5.767875728648469,0.51205,0.0,0.5,1.2269726275328197,0.5203084055983499,1.0,0.9999999710139389,0.0,0.8699344431831442,100,0.0,0,0.0,0,0.0,50.0,50.0,100,0.0,50.0,0.41,0.0,1.0,0.0,0.48795,0.03983991238921452,50.0,1.0
smoke_spring,lstm,CftsCOMTE,20,1.0,570.400889336252,66.9935521331898,0.745,0.745,0.0,0.06949762985076074,0.6871371912245939,0.0,0.29309609060090136,0.0,0.4120869227070155,20,0.0,0,0.0,0,0.0,30.0,30.0,20,0.0,30.0,0.0,0.0,0.0,0.0,,,,
smoke_spring,lstm,CftsCels,20,0.3,40.97882068760889,5.632260296682693,0.7536666666666665,0.24500000000000002,0.42666666666666664,0.9054521962717361,0.9103062120248365,0.0,0.5863404876279942,0.25,0.8986959574110264,20,0.0,0,0.0,0,0.0,20.5,20.5,20,0.0,20.5,0.0,0.0,0.0,0.0,,,,
smoke_spring,lstm,CftsConfeti,20,0.15,69.96764948966947,7.449626680323431,0.9253333333333333,0.85,0.85,1.3142895408055577,0.8271172249514708,0.0,0.025228952259304993,0.0,0.03416865254596916,3,0.85,17,0.85,0,0.0,4.5,30.0,3,0.85,4.5,0.0,0.0,0.0,0.0,,,,
smoke_spring,lstm,CftsWachter,20,0.85,1823.2309919042218,142.24689744415588,0.0001666666666666667,0.0,0.0,0.051155920659035,0.7143672227921999,0.0,0.43940461864685537,0.0,0.3558538385815825,20,0.0,0,0.0,0,0.0,30.0,30.0,20,0.0,30.0,0.0,0.0,0.0,0.0,,,,
smoke_spring,lstm,NoiselessSCMRecourse,20,1.0,801.4635233425837,62.51468554631983,0.2668333333333333,0.0,0.26666666666666666,0.119209282613382,0.6690922816802619,1.0,0.999999349368129,0.0,0.6907049961142744,20,0.0,0,0.0,0,0.0,22.0,22.0,20,0.0,22.0,1.0,0.0,1.0,0.0,,,,
smoke_spring,lstm,PearlSCMRecourse,20,1.0,814.471469792929,63.83346489469634,0.26666666666666666,0.0,0.26666666666666666,0.09228926424348896,0.620454987566074,0.0,0.690705081436972,1.0,0.9999995599226074,20,0.0,0,0.0,0,0.0,1.0,1.0,20,0.0,1.0,0.0,1.0,0.0,1.0,,,,
smoke_spring,lstm,TSCausal,20,0.0,223.44752572037092,18.27383149832945,0.02883333333333333,0.0,0.0,0.16671995623171193,0.005403827676178446,0.0,0.9847703510251605,0.0,0.6069646655302544,20,0.0,0,0.0,20,1.0,30.0,30.0,20,0.0,30.0,0.0,0.0,nan,nan,,,,
smoke_spring,oracle,OracleCF-Pearl,20,0.5,34.63494716790412,6.513775379377085,0.8323333333333334,0.6300000000000001,0.5,0.1284132628381665,0.9494819368768292,0.0,0.75326382964804,1.0,0.9999998616501706,20,0.0,0,0.0,0,0.0,1.0,1.0,20,0.0,1.0,0.0,0.5,0.0,1.0,0.16766666666666663,0.07649055352424514,1.0,1.0
smoke_spring,oracle,OracleCF-Rollout,20,0.5,69.2382808583011,8.277308926452651,0.5309999999999999,0.0,0.5,0.2594716461031504,0.5754184906096281,1.0,0.9999998689818369,0.0,0.7532638236139403,20,0.0,0,0.0,0,0.0,15.0,15.0,20,0.0,15.0,0.5,0.0,1.0,0.0,0.4690000000000001,0.07762130296331558,15.0,1.0
full_spring,lstm,CftsCOMTE,100,1.0,1729.581609044568,144.25965290413765,0.8100200000000002,0.8100000000000002,0.0001,0.04485306805640847,0.8199040498492084,0.0,0.12185346982007808,0.0,0.3553479786039784,100,0.0,0,0.0,0,0.0,100.0,100.0,100,0.0,100.0,0.0,0.0,0.0,0.0,,,,
full_spring,lstm,CftsCels,100,0.31,50.61793576759588,7.943991028807817,0.8634100000000001,0.079,0.5265000000000001,1.0413375783586978,0.939827508893664,0.0,0.24938820575377535,0.4,0.9482127030018142,100,0.0,0,0.0,0,0.0,55.26,55.26,100,0.0,55.26,0.0,0.0,0.0,0.0,,,,
full_spring,lstm,CftsConfeti,100,0.64,2200.6718129556793,141.7525329681665,0.67574,0.36,0.3608,1.1272234069576932,0.372128870857139,0.0,0.007171400662873423,0.0,0.009506162186381645,64,0.36,36,0.36,0,0.0,64.0,100.0,64,0.36,64.0,0.0,0.0,0.0,0.0,,,,
full_spring,lstm,CftsWachter,100,0.63,9951.785911096225,486.64284671516543,0.00406,0.0,0.0,0.025778868047343573,0.8360642533652762,0.0,0.14575061170317485,0.0,0.07688492198939072,100,0.0,0,0.0,0,0.0,100.0,100.0,100,0.0,100.0,0.0,0.0,0.0,0.0,,,,
full_spring,lstm,NoiselessSCMRecourse,100,1.0,2830.4547594505793,153.17198798936388,0.27105,0.0,0.27,0.06378048341355828,0.3628868551570604,1.0,0.9999961911886204,0.0,0.3355998003487944,100,0.0,0,0.0,0,0.0,73.0,73.0,100,0.0,73.0,1.0,0.0,1.0,0.0,,,,
full_spring,lstm,PearlSCMRecourse,100,1.0,2225.771965247591,138.25400674322935,0.25957,0.005,0.25,0.036118405952524295,0.932653747591988,0.0,0.32033774962466965,1.0,0.999998637811187,100,0.0,0,0.0,0,0.0,1.0,1.0,100,0.0,1.0,0.0,1.0,0.0,1.0,,,,
full_spring,lstm,TSCausal,100,0.05,1304.397045170553,60.400566562698074,0.006580000000000002,0.0,0.0,0.10169880063205593,0.021987135494364506,0.0,0.5562528403640815,0.0,0.29945745327336004,100,0.0,0,0.0,95,0.95,100.0,100.0,100,0.0,100.0,0.0,0.0,0.0,0.0,,,,
full_spring,oracle,OracleCF-Pearl,100,0.45,192.3760133061618,20.216313846634804,0.8774999999999998,0.7499999999999999,0.5,0.055272913818228304,0.9719849046375961,0.0,0.4792906539417967,1.0,0.9999997356061792,100,0.0,0,0.0,0,0.0,1.0,1.0,100,0.0,1.0,0.0,0.45,0.0,1.0,0.12250000000000016,0.0735803639790474,1.0,1.0
full_spring,oracle,OracleCF-Rollout,100,0.45,485.4860133161975,32.21126077524138,0.5096,0.0,0.5,0.132346584229893,0.5172248495820349,1.0,0.9999997508829391,0.0,0.47929065061555215,100,0.0,0,0.0,0,0.0,50.0,50.0,100,0.0,50.0,0.45,0.0,1.0,0.0,0.49039999999999995,0.07688996249120972,50.0,1.0
