dataset,classifier,method,metric,value
full,lstm,CftsConfeti,pns_PS_delta_outcome,0.0
full,lstm,CftsConfeti,pns_PS_delta_total,1.0
full,lstm,CftsConfeti,pns_PS_delta_trajectory,1.0
full,lstm,CftsConfeti,pns_PS_do_complexity_mean,100.0
full,lstm,CftsConfeti,pns_PS_do_complexity_median,100.0
full,lstm,CftsConfeti,pns_PS_frac_no_intervention,0.44
full,lstm,CftsConfeti,pns_PS_n,100.0
full,lstm,CftsConfeti,pns_PS_n_scorable,56.0
full,lstm,CftsConfeti,proximity_l1,93.97584464293678
full,lstm,CftsConfeti,proximity_l2,5.455716321031582
full,lstm,CftsConfeti,scm_noise_plausibility,0.6363379011722431
full,lstm,CftsConfeti,shift_vr,1.0714285714285714
full,lstm,CftsConfeti,sparsity,0.72312
full,lstm,CftsConfeti,sparsity_channels,0.44
full,lstm,CftsConfeti,sparsity_timepoints,0.44060000000000005
full,lstm,CftsConfeti,trsi,1.4368683714829549
full,lstm,CftsConfeti,validity,0.56
full,lstm,CftsConfeti,validity_base,0.56
full,lstm,CftsConfeti,validity_shift,0.6
full,lstm,CftsWachter,cf_faith_pearl_hard,0.0
full,lstm,CftsWachter,cf_faith_pearl_hard_given_valid,0.0
full,lstm,CftsWachter,cf_faith_pearl_hard_valid,0.0
full,lstm,CftsWachter,cf_faith_pearl_soft,0.7163871437207864
full,lstm,CftsWachter,cf_faith_rollout_hard,0.0
full,lstm,CftsWachter,cf_faith_rollout_hard_given_valid,0.0
full,lstm,CftsWachter,cf_faith_rollout_hard_valid,0.0
full,lstm,CftsWachter,cf_faith_rollout_soft,0.7632124010414664
full,lstm,CftsWachter,do_complexity_mean,98.32
full,lstm,CftsWachter,do_complexity_mean_all,98.32
full,lstm,CftsWachter,do_complexity_mean_pearl_scorable,98.32
full,lstm,CftsWachter,do_complexity_median,100.0
full,lstm,CftsWachter,do_complexity_stability,1.0338470880298771
full,lstm,CftsWachter,frac_degenerate,0.0
full,lstm,CftsWachter,frac_no_do_schedule,0.0
full,lstm,CftsWachter,frac_vacuous,0.0
full,lstm,CftsWachter,n,100.0
full,lstm,CftsWachter,n_cf_faith_scorable,100.0
full,lstm,CftsWachter,n_do_scorable,100.0
full,lstm,CftsWachter,ood,0.028419227097137324
full,lstm,CftsWachter,pns_PS_A_model_proposed,0.9
full,lstm,CftsWachter,pns_PS_B_model_oracle,0.0
full,lstm,CftsWachter,pns_PS_C_world_oracle,0.0
full,lstm,CftsWachter,pns_PS_delta_outcome,0.0
full,lstm,CftsWachter,pns_PS_delta_total,0.9
full,lstm,CftsWachter,pns_PS_delta_trajectory,0.9
