config,label,corrupt_frac,n_seeds,shd_mean,propagation_error_min,propagation_error_max,graph_error,graph_error_lo,graph_error_hi,frac_vacuous,frac_vacuous_lo,frac_vacuous_hi
full_nl,corrupt_frac=0,0.0,3,0.0,4.533973196885199e-11,0.20076190004162475,0.0,0.0,0.0,0.0,0.0,0.0
full_nl,corrupt_frac=0.25,0.25,3,8.666666666666666,4.533973196885199e-11,0.20076190004162475,0.0014972175765279132,0.0007351449420329725,0.0019128369846732607,0.0,0.0,0.0
full_nl,corrupt_frac=0.5,0.5,3,18.0,4.533973196885199e-11,0.20076190004162475,0.001827698005210839,0.0011222841544349382,0.002423756195535254,0.0,0.0,0.0
full_nl,corrupt_frac=0.75,0.75,3,26.666666666666668,4.533973196885199e-11,0.20076190004162475,0.002851924217557237,0.0016577482147243083,0.0037199891569812404,0.0,0.0,0.0
full_nl,corrupt_frac=1,1.0,3,35.333333333333336,4.533973196885199e-11,0.20076190004162475,0.0032485427682171033,0.001834734186334508,0.004012511290562015,0.0,0.0,0.0
full_nl,dynotears,nan,3,4.0,4.533973196885199e-11,0.20076190004162475,0.00033316768116590606,0.00028772986916503207,0.0004227868612298735,0.0,0.0,0.0
smoke_spring,corrupt_frac=0,0.0,3,0.0,4.6648387519443446e-07,0.9811097844229676,0.0,0.0,0.0,0.0,0.0,0.0
smoke_spring,corrupt_frac=0.25,0.25,3,1.3333333333333333,4.6648387519443446e-07,0.9811097844229676,0.1643187708001375,0.0,0.39977621590630913,0.0,0.0,0.0
smoke_spring,corrupt_frac=0.5,0.5,3,3.3333333333333335,4.6648387519443446e-07,0.9811097844229676,0.18008232785409048,0.09034993430849458,0.2598841058134663,0.0,0.0,0.0
smoke_spring,corrupt_frac=0.75,0.75,3,6.666666666666667,4.6648387519443446e-07,0.9811097844229676,0.22813412226078525,0.17299885509045365,0.27572785417226464,0.0,0.0,0.0
smoke_spring,corrupt_frac=1,1.0,3,8.0,4.6648387519443446e-07,0.9811097844229676,0.398956612636655,0.17299885509045365,0.5398753597407712,0.0,0.0,0.0
smoke_spring,dynotears,nan,3,8.0,4.6648387519443446e-07,0.9811097844229676,0.26939765466480636,0.17299885509045365,0.3663812442764464,0.0,0.0,0.0
smoke_kuramoto,corrupt_frac=0,0.0,3,0.0,7.880331542864383e-07,0.9997689741076815,0.0,0.0,0.0,0.0,0.0,0.0
smoke_kuramoto,corrupt_frac=0.25,0.25,3,1.3333333333333333,7.880331542864383e-07,0.9997689741076815,0.03840526646046013,0.0,0.061132045514905586,0.0,0.0,0.0
smoke_kuramoto,corrupt_frac=0.5,0.5,3,3.3333333333333335,7.880331542864383e-07,0.9997689741076815,0.08529012060860548,0.07592629938660378,0.09101745560457553,0.0,0.0,0.0
smoke_kuramoto,corrupt_frac=0.75,0.75,3,6.666666666666667,7.880331542864383e-07,0.9997689741076815,0.11113761441227883,0.07881900197295821,0.16548806377139547,0.0,0.0,0.0
smoke_kuramoto,corrupt_frac=1,1.0,3,8.0,7.880331542864383e-07,0.9997689741076815,0.14568386817548362,0.12139689080204796,0.16218600353989032,0.0,0.0,0.0
smoke_kuramoto,dynotears,nan,3,8.0,7.880331542864383e-07,0.9997689741076815,0.12587854968394105,0.10620377177304297,0.1496356667856492,0.0,0.0,0.0
