benchmark,classifier,method,n_seeds,validity_mean,validity_ci_lo,validity_ci_hi,validity_n,proximity_l1_mean,proximity_l1_ci_lo,proximity_l1_ci_hi,proximity_l1_n,proximity_l2_mean,proximity_l2_ci_lo,proximity_l2_ci_hi,proximity_l2_n,sparsity_mean,sparsity_ci_lo,sparsity_ci_hi,sparsity_n,sparsity_channels_mean,sparsity_channels_ci_lo,sparsity_channels_ci_hi,sparsity_channels_n,sparsity_timepoints_mean,sparsity_timepoints_ci_lo,sparsity_timepoints_ci_hi,sparsity_timepoints_n,trsi_mean,trsi_ci_lo,trsi_ci_hi,trsi_n,scm_noise_plausibility_mean,scm_noise_plausibility_ci_lo,scm_noise_plausibility_ci_hi,scm_noise_plausibility_n,cf_faith_rollout_hard_mean,cf_faith_rollout_hard_ci_lo,cf_faith_rollout_hard_ci_hi,cf_faith_rollout_hard_n,cf_faith_rollout_soft_mean,cf_faith_rollout_soft_ci_lo,cf_faith_rollout_soft_ci_hi,cf_faith_rollout_soft_n,cf_faith_pearl_hard_mean,cf_faith_pearl_hard_ci_lo,cf_faith_pearl_hard_ci_hi,cf_faith_pearl_hard_n,cf_faith_pearl_soft_mean,cf_faith_pearl_soft_ci_lo,cf_faith_pearl_soft_ci_hi,cf_faith_pearl_soft_n,cf_faith_rollout_hard_valid_mean,cf_faith_rollout_hard_valid_ci_lo,cf_faith_rollout_hard_valid_ci_hi,cf_faith_rollout_hard_valid_n,cf_faith_pearl_hard_valid_mean,cf_faith_pearl_hard_valid_ci_lo,cf_faith_pearl_hard_valid_ci_hi,cf_faith_pearl_hard_valid_n
smoke,lstm,CARLA,3,1.0,1.0,1.0,60,32.02673805410002,9.28537665641052,54.294748494066475,60,6.021534127294919,1.3436935444909917,11.4993499304684,60,0.39688888888888896,0.3418888888888889,0.4544527777777778,60,0.0,0.0,0.0,60,0.391111111111111,0.3366666666666666,0.4456527777777773,60,1.3085958630822556,1.086271222941407,1.454726109062828,60,0.4088444695709153,0.3539671879729327,0.4707424764112661,60,1.0,1.0,1.0,60,0.9999999921024809,0.9999999859332978,0.9999999999678463,60,0.0,0.0,0.0,60,0.7490634684856226,0.5809876910421266,0.9065391087756666,60,1.0,1.0,1.0,60,0.0,0.0,0.0,60
smoke,lstm,CftsCels,3,0.9333333333333333,0.8333333333333334,1.0,60,2.3651188086682606,0.5620039865147975,4.209324985105855,60,1.2841222146238525,0.21008561577134724,2.564624009348548,60,0.6855555555555556,0.6074361111111113,0.7550083333333334,60,0.05333333333333334,0.0,0.13333333333333336,60,0.3988888888888889,0.31555555555555553,0.4994583333333332,60,1.1809644721359698,1.0905300244316287,1.2834385798969838,60,0.9006689758186178,0.8503488316894785,0.9401070528542491,60,0.0,0.0,0.0,60,0.7542680935059003,0.5791282611788114,0.9069385265012601,60,0.06666666666666667,0.0,0.16666666666666666,60,0.9772186945741161,0.9582475351136392,0.9957378435174647,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke,lstm,CftsCOMTE,3,1.0,1.0,1.0,60,100.5450825731868,30.981923222125104,203.25639994064056,60,8.920248944448169,2.563481295664581,18.31785779518663,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,0.5776111507255427,0.4762666735901291,0.7103110448160284,60,0.2526822587560474,0.046151392555879266,0.45721264480694424,60,0.0,0.0,0.0,60,0.5602076013744774,0.26575091115191524,0.8100165503459722,60,0.0,0.0,0.0,60,0.6137485944802016,0.36273853065593625,0.8198924627322522,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke,lstm,CftsConfeti,3,0.7,0.38333333333333336,1.0,60,33.692046988758335,6.593732743341918,81.29959306633403,60,5.980861168869245,0.9859765073289148,14.72331434987459,60,0.6391111111111111,0.478425,0.8110027777777777,60,0.3,0.0,0.6166666666666667,60,0.32000000000000006,0.026652777777777803,0.6267361111111107,60,1.4816769237334007,1.4437617215796141,1.5160470527410184,60,0.5703722439558879,0.09612428953159015,0.9006931066390228,60,0.0,0.0,0.0,42,0.6994176697563831,0.521167121132736,0.9160760000318707,42,0.0,0.0,0.0,42,0.7099519643405529,0.5080473702763123,0.9366109351326148,42,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke,lstm,CftsCounts,3,0.65,0.38333333333333336,1.0,60,52.99728830236676,15.461943016378559,100.48745050038424,60,7.860792953863589,1.7467762100189523,16.42536671685947,60,0.004666666666666666,0.002111111111111111,0.008669444444444431,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,1.4106134777246697,1.3404309454624384,1.4711323905514795,60,0.2637716780640681,0.05966011608914446,0.4845882851436139,60,0.0,0.0,0.0,60,0.8939930616552547,0.8126340070398305,0.9943474551193789,60,0.0,0.0,0.0,60,0.7406012596918,0.5424924442294535,0.9054116082178681,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke,lstm,CftsWachter,3,0.9833333333333333,0.9333333333333333,1.0,60,84.002020366198,21.78262428223413,157.55047238383148,60,11.669024786839836,2.3684866353911858,24.55524868019419,60,0.007222222222222222,0.004,0.010780555555555543,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,1.2870728410599621,1.1592318345544375,1.4014417782713449,60,0.7676778696343092,0.6415972404796081,0.9037667861150849,60,0.0,0.0,0.0,60,0.706259413593527,0.5098512720589575,0.9062131158908961,60,0.0,0.0,0.0,60,0.6384153666202625,0.380997744514579,0.8688366772763279,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
smoke,lstm,PearlCARLA,3,0.35,0.0,0.95,60,17.8021915780969,1.7503218086432981,44.63311527132333,60,3.785477796134185,0.8464822480838874,8.321373560885261,60,0.7413333333333333,0.5878861111111111,0.941558333333333,60,0.006666666666666667,0.0,0.02,60,0.5688888888888889,0.3327777777777777,0.9049999999999999,60,1.4634333643636277,0.913014946189077,1.9387423336445702,60,0.912986776585149,0.8866107608856387,0.941194225627091,60,0.0,0.0,0.0,60,0.7488355148618676,0.568210557838113,0.9063413855215847,60,1.0,1.0,1.0,60,0.999999967533594,0.9999999491599956,0.9999999973192728,60,0.0,0.0,0.0,60,0.35,0.0,0.95,60
smoke,lstm,TSCausal,3,0.9333333333333333,0.7833333333333333,1.0,60,95.60320581767937,56.81909993637669,137.4039552054492,60,11.91837896707634,6.035853776390338,16.89560304278718,60,0.007666666666666667,0.0015527777777777827,0.013999999999999997,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60,1.3603121474363935,1.2901973825135682,1.43010527103851,60,0.14320750918613448,0.05835301652947452,0.257709285937371,60,0.0,0.0,0.0,60,0.49051892970267447,0.35849308125855717,0.6902451210091173,60,0.0,0.0,0.0,60,0.5540700769445389,0.43892552840642185,0.6870089866623436,60,0.0,0.0,0.0,60,0.0,0.0,0.0,60
