config,label,corrupt_frac,n_seeds,shd_mean,propagation_error_min,propagation_error_max,propagation_error_sigma_min,propagation_error_sigma_max,graph_error,graph_error_lo,graph_error_hi,graph_error_sigma,graph_error_sigma_lo,graph_error_sigma_hi,frac_vacuous,frac_vacuous_lo,frac_vacuous_hi
full_nl,corrupt_frac=0,0.0,3,0.0,5.816006254377726e-08,0.9503628236864252,5.4972241953572406e-08,2.171493917564327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_nl,corrupt_frac=0.25,0.25,3,8.666666666666666,5.816006254377726e-08,0.9503628236864252,5.4972241953572406e-08,2.171493917564327,0.6795684502187344,0.6299320931655215,0.7745858319656529,0.9323186252657593,0.7168679016519777,1.0951923528427885,0.0,0.0,0.0
full_nl,corrupt_frac=0.5,0.5,3,18.0,5.816006254377726e-08,0.9503628236864252,5.4972241953572406e-08,2.171493917564327,0.7063364694764784,0.6423030384778847,0.7504343742917156,0.9881822874747335,0.9378730596637093,1.0205749406420428,0.0,0.0,0.0
full_nl,corrupt_frac=0.75,0.75,3,26.666666666666668,5.816006254377726e-08,0.9503628236864252,5.4972241953572406e-08,2.171493917564327,0.7122100645712743,0.6410715727848953,0.7663847244813079,1.0062158490847246,0.9422569037698721,1.0722203388737872,0.0,0.0,0.0
full_nl,corrupt_frac=1,1.0,3,35.333333333333336,5.816006254377726e-08,0.9503628236864252,5.4972241953572406e-08,2.171493917564327,0.7477763520141741,0.6552305948475752,0.8167847263414059,1.119467384697953,1.041961209125851,1.2522447255315061,0.0,0.0,0.0
full_nl,dynotears,nan,3,8.0,5.816006254377726e-08,0.9503628236864252,5.4972241953572406e-08,2.171493917564327,0.4655022747110984,0.16298604908062164,0.6869454147175581,0.5564431452585351,0.19016728396557667,0.9034404891569241,0.0,0.0,0.0
smoke_spring,corrupt_frac=0,0.0,3,0.0,4.6648387519443446e-07,0.9811097844229676,6.145259689885373e-08,0.9823982605460875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke_spring,corrupt_frac=0.25,0.25,3,1.3333333333333333,4.6648387519443446e-07,0.9811097844229676,6.145259689885373e-08,0.9823982605460875,0.1643187708001375,0.0,0.39977621590630913,0.030795377404269453,0.0,0.07774747918814462,0.0,0.0,0.0
smoke_spring,corrupt_frac=0.5,0.5,3,3.3333333333333335,4.6648387519443446e-07,0.9811097844229676,6.145259689885373e-08,0.9823982605460875,0.18008232785409048,0.09034993430849458,0.2598841058134663,0.029711934773545043,0.012804988850406337,0.04621841995465498,0.0,0.0,0.0
smoke_spring,corrupt_frac=0.75,0.75,3,6.666666666666667,4.6648387519443446e-07,0.9811097844229676,6.145259689885373e-08,0.9823982605460875,0.22813412226078525,0.17299885509045365,0.27572785417226464,0.03771783776870533,0.025559575806244256,0.049529027333220565,0.0,0.0,0.0
smoke_spring,corrupt_frac=1,1.0,3,8.0,4.6648387519443446e-07,0.9811097844229676,6.145259689885373e-08,0.9823982605460875,0.398956612636655,0.17299885509045365,0.5398753597407712,0.08170223600311793,0.025559575806244256,0.12461433838542428,0.0,0.0,0.0
smoke_spring,dynotears,nan,3,8.0,4.6648387519443446e-07,0.9811097844229676,6.145259689885373e-08,0.9823982605460875,0.26939765466480636,0.17299885509045365,0.3663812442764464,0.04699489074196752,0.025559575806244256,0.07095904905371213,0.0,0.0,0.0
