benchmark,classifier,method,n,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,n_cf_faith_scorable,frac_degenerate,n_vacuous,frac_vacuous,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_seed1,lstm,CftsWachter,50,0.82,237.90389154647255,13.256079017705757,0.13383999999999996,0.0,0.0908,1.328409488783866,,0.0,0.7968521504365416,0.0,0.7826516457161639,50,0.0,0,0.0,0.0,0.0
full_seed1,lstm,PearlCARLA,50,0.06,3.7810901168383695,0.3663855128991165,0.83222,0.076,0.7063999999999999,1.980972686176293,,0.0,0.8228013621877414,1.0,0.9999999825799507,49,0.020000000000000018,1,0.02,0.0,0.06
full_nl_seed1,lstm,CARLA,50,1.0,99.96922290316672,4.923875393828101,0.26416,0.0,0.26,0.8989562282749576,,1.0,0.99999999978349,0.0,0.875366163399427,50,0.0,50,1.0,1.0,0.0
full_nl_seed1,lstm,CftsCels,50,0.68,0.13336023320830293,0.09885606190129874,0.9947000000000001,0.7439999999999999,0.9765999999999999,1.1525135456354525,,0.0,0.9279794403961056,0.0,0.994685817797553,33,0.33999999999999997,16,0.32,0.0,0.0
full_nl_seed1,lstm,CftsCOMTE,50,0.98,253.4443579324934,10.342930656181089,0.26836,0.02,0.09620000000000001,0.7607969505336323,,0.0,0.8233896827939767,0.0,0.891920695696807,49,0.020000000000000018,1,0.02,0.0,0.0
full_nl_seed1,lstm,CftsConfeti,50,0.44,40.091213931880205,2.3105552636329354,0.78238,0.56,0.5608,1.3949651160487906,,0.0,0.8783726460650786,0.0,0.912913653165002,22,0.56,28,0.56,0.0,0.0
full_nl_seed1,lstm,CftsWachter,50,0.98,156.5305245231226,7.385456501810074,0.0329,0.0,0.011000000000000001,0.9200619879257813,,0.0,0.8754481572933961,0.0,0.8539319756465382,50,0.0,0,0.0,0.0,0.0
full_nl_seed1,lstm,PearlCARLA,50,0.0,1.1060324900676054e-05,1.2818036163827616e-06,1.0,1.0,1.0,0.7068891366954775,,,,,,0,1.0,50,1.0,0.0,0.0
full_seed2,lstm,CARLA,50,0.0,143.49825269871545,7.2477442214906445,0.25632,0.0,0.25,1.3601762208601773,,1.0,0.9999999972689951,0.0,0.8259828429859063,50,0.0,0,0.0,0.0,0.0
full_seed2,lstm,CftsCels,50,0.46,0.20786740216991184,0.15123312053594926,0.99138,0.5940000000000001,0.9738000000000001,1.348959365919078,,0.0,0.8815674724321642,0.1724137931034483,0.9940919487605935,29,0.42000000000000004,21,0.42,0.0,0.0
full_seed2,lstm,CftsCOMTE,50,1.0,428.85548550673093,20.55360672295179,0.39629999999999993,0.0,0.28920000000000007,0.7484559344506404,,0.0,0.7102338589012127,0.0,0.7943871651934049,50,0.0,0,0.0,0.0,0.0
full_seed2,lstm,CftsConfeti,50,0.5,65.50822570482661,3.806258403337747,0.7497799999999999,0.5,0.5004,1.4401673143438785,,0.0,0.835879678433741,0.0,0.8747142441493588,25,0.5,25,0.5,0.0,0.0
full_seed2,lstm,CftsWachter,50,0.96,245.00846082979595,11.969359867331878,0.04122,0.0,0.019799999999999998,1.3021760368183968,,0.0,0.8242894143676917,0.0,0.7873623149667047,50,0.0,0,0.0,0.0,0.0
full_seed2,lstm,PearlCARLA,50,0.0,0.35684967113600363,0.03593921145281613,0.92656,0.314,0.8318000000000001,0.6624687032650499,,0.0,0.8269822359865447,1.0,0.9999999775898548,42,0.16000000000000003,8,0.16,0.0,0.0
full_nl_seed2,lstm,CARLA,50,0.0,96.81108699500756,4.783718352646874,0.26405999999999996,0.0,0.26,0.9358920853837072,,1.0,0.9999999997455309,0.0,0.8787990414527268,50,0.0,50,1.0,0.0,0.0
full_nl_seed2,lstm,CftsCels,50,0.46,0.07946721557739089,0.0596355143445257,0.99714,0.87,0.9826,1.2034624253696358,,0.0,0.9184627036580544,0.0,0.9964128046113098,21,0.5800000000000001,27,0.54,0.0,0.0
full_nl_seed2,lstm,CftsCOMTE,50,1.0,601.4448718664987,24.97949698500111,0.12721999999999997,0.0,0.018000000000000002,0.8929716599991306,,0.0,0.7992380999583752,0.0,0.8532168665150444,50,0.0,0,0.0,0.0,0.0
full_nl_seed2,lstm,CftsConfeti,50,0.36,32.12452976775759,1.8437731222005984,0.81902,0.64,0.6402,1.3904777039575376,,0.0,0.8851555861323598,0.0,0.9145491274399219,18,0.64,32,0.64,0.0,0.0
full_nl_seed2,lstm,CftsWachter,50,0.98,156.37461185282072,7.390588502922194,0.029539999999999997,0.0,0.0036,0.9447142236862598,,0.0,0.8818981929303135,0.0,0.8569831730049775,50,0.0,0,0.0,0.0,0.0
full_nl_seed2,lstm,PearlCARLA,50,0.0,2.6546754117647552e-05,8.351472591895161e-06,1.0,1.0,1.0,0.9654906896003587,,,,,,0,1.0,50,1.0,0.0,0.0
smoke,lstm,CARLA,20,1.0,27.259981714070356,4.2293553453922605,0.44866666666666666,0.0,0.4416666666666666,1.0697201691417533,0.4678494303083312,1.0,0.9999999907854582,0.0,0.7768120258239672,20,0.0,0,0.0,1.0,0.0
smoke,lstm,CftsCels,20,1.0,2.0378125957221243,0.8607593670894399,0.6036666666666666,0.0,0.3483333333333333,1.094918000240345,0.9312012424130527,0.0,0.7883883376349605,0.0,0.9807350981827673,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,20,1.0,47.88365125725156,4.049266693045636,0.0,0.0,0.0,0.4774675244283178,0.26193574914941786,0.0,0.6472550781911817,0.0,0.7223821307985377,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsConfeti,20,0.4,9.571234250986496,1.5157733348855742,0.8096666666666668,0.6,0.61,1.4421223814481285,0.7201587535187187,0.0,0.7835043923195887,0.0,0.8389413122618643,8,0.6,12,0.6,0.0,0.0
smoke,lstm,CftsCounts,20,0.5,39.74129190309455,4.699909006718462,0.003,0.0,0.0,1.3389177402704222,0.1986454086936201,0.0,0.8866096229456863,0.0,0.7838488682001566,20,0.0,0,0.0,0.0,0.0
