benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
full_seed2,lstm,CARLA,0,1,6.901554059097974,1.4025021455993332,0.954,0.0,0.95,1.4470501351835028,0.9870818546259263,95,0,1.0,0.9999999922118766,0.0,0.9036133711134604,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,1,1,7.26040681302038,1.5689459857751684,0.953,0.0,0.95,1.0887989172695485,0.9993116543925556,95,0,1.0,0.9999999968092323,0.0,0.8944735215587393,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,2,1,9.930603671963256,2.525365770646583,0.953,0.0,0.95,1.2434665776049103,0.9414358488258742,95,0,1.0,0.9999999840984285,0.0,0.8493218253193114,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,3,1,6.948356673633758,1.3686699716077357,0.96,0.0,0.96,1.3997983876499664,0.9221927995928992,96,1,1.0,0.9999999938306677,0.0,0.8918980484845187,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,4,1,8.249593938679242,1.7288596018884723,0.953,0.0,0.95,1.4231592401924658,0.9501687996953486,95,0,1.0,0.9999999978088319,0.0,0.8640806158412763,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,5,1,6.188687148350537,1.2429880319033315,0.956,0.0,0.95,1.4193167054684894,0.9543402093771692,95,0,1.0,0.9999999874138988,0.0,0.8875508549721963,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,6,1,8.155396111381911,1.697704703942367,0.96,0.0,0.96,1.528508523552148,0.9792699760622114,96,1,1.0,0.9999999929266167,0.0,0.8895645889141461,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,7,1,4.322908967571941,0.8739964820329665,0.955,0.0,0.95,1.2488629277443763,0.9626481929101445,95,0,1.0,0.9999999888695389,0.0,0.915994870229443,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,8,1,5.204242438991924,1.054614156564515,0.956,0.0,0.95,1.238945849750568,0.97449570952881,95,0,1.0,0.9999999948470661,0.0,0.9056171004137394,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,9,1,12.077747170025964,2.6437210831986393,0.951,0.0,0.95,1.241777127062487,0.9420013790995491,95,0,1.0,0.9999999939416354,0.0,0.8630867315905016,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,10,1,8.518316448439048,1.835944013905612,0.952,0.0,0.95,1.110124583991668,0.9148099005102844,95,0,1.0,0.9999999967089269,0.0,0.8794109115894966,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,11,1,4.4869163225802975,0.8120530296295599,0.952,0.0,0.95,1.145832850283932,0.9803358531685287,95,0,1.0,0.9999999962340994,0.0,0.9224216333954641,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,12,1,5.474576571319795,1.1765403204140126,0.954,0.0,0.95,1.44916357857568,0.8948297251741756,95,0,1.0,0.9999999928235559,0.0,0.8992243370323353,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,13,1,5.462045332590944,1.2415110821153075,0.954,0.0,0.95,1.3376110991460097,0.9591200935368397,95,0,1.0,0.999999989541068,0.0,0.9037173861860454,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,14,1,4.753291357213493,0.9313366256956865,0.96,0.0,0.96,1.1962651882667588,0.9749722215569453,96,1,1.0,0.9999999912359757,0.0,0.9326408762499739,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,15,1,5.141842917081911,1.2119849888693566,0.953,0.0,0.95,1.0391931900005111,0.9224480825047878,95,0,1.0,0.9999999921765437,0.0,0.90484383459476,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,16,1,5.720036213396249,1.0714730031710131,0.953,0.0,0.95,1.3052214469375822,0.9808591158011879,95,0,1.0,0.9999999933546182,0.0,0.8831668211529301,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,17,1,4.678220543177725,1.0026057490643785,0.952,0.0,0.95,1.3040375048254964,0.9709188353166803,95,0,1.0,0.9999999950029119,0.0,0.9404082999568159,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,18,1,5.688863664127776,1.0564277966939624,0.951,0.0,0.95,1.2489385089042635,0.9884405362127255,95,0,1.0,0.9999999967619096,0.0,0.9066035021120789,1.0,0.0,5,95,99,4
full_seed2,lstm,CARLA,19,1,6.433834506627939,1.3656645259909954,0.953,0.0,0.95,1.0663276577646195,0.9887605430577268,95,0,1.0,0.9999999963212348,0.0,0.8966246977340826,1.0,0.0,5,95,99,4
full_seed2,lstm,PearlCARLA,0,1,5.765250349239489,1.3916404255483552,0.96,0.0,0.95,1.2917873286603452,0.9740384046831027,95,0,0.0,0.903613369894893,1.0,0.9999999885818321,0.0,1.0,5,95,99,4
full_seed2,lstm,PearlCARLA,1,1,4.060382069221079,1.0223174407928832,0.968,0.1,0.95,1.3108520084883906,0.9634745267992197,95,0,0.0,0.8944735178922818,1.0,0.9999999908355603,0.0,1.0,5,95,99,4
full_seed2,lstm,PearlCARLA,2,0,6.73422512566113,1.6252113196247502,0.958,0.0,0.95,1.476211772627948,0.9907118239303583,95,0,0.0,0.8493218301786751,1.0,0.9999999855910108,0.0,0.0,5,95,99,4
full_seed2,lstm,PearlCARLA,3,1,4.585652532581351,1.1401963295852953,0.968,0.1,0.95,1.3183764244865008,0.9765989851635027,95,0,0.0,0.8702567075516331,1.0,0.9999999752778286,0.0,1.0,5,95,99,4
