benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,trsi,ivr,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_seed0,lstm,CARLA,0,1,33.70116041727227,5.460024898065068,0.5,0.488169412648882,0.0,15,1.0,0.9999999850867923,0.0,0.6794959758673446,1.0,0.0
smoke_seed0,lstm,CARLA,1,1,46.99949818582749,7.678502471293775,0.5,0.7331546694543873,0.0,15,1.0,0.9999999892240028,0.0,0.7711025739276615,1.0,0.0
smoke_seed0,lstm,CARLA,2,1,29.38452900470119,5.006788296615202,0.5,0.4086869268960739,0.0,15,1.0,0.9999999873761282,0.0,0.8261124925920665,1.0,0.0
smoke_seed0,lstm,CARLA,3,1,26.289168862390948,3.5484974114980794,0.26666666666666666,0.5741361259799893,0.0,8,1.0,0.999999998536891,0.0,0.8170954308278845,1.0,0.0
smoke_seed0,lstm,CARLA,4,1,24.050848013925712,3.248835154410564,0.26666666666666666,0.5400061758398982,0.0,8,1.0,0.99999999855547,0.0,0.8059046086379305,1.0,0.0
smoke_seed0,lstm,CARLA,5,1,24.48965447624098,3.480384937466785,0.26666666666666666,0.7586047998654368,0.0,8,1.0,0.9999999976686008,0.0,0.7998627246119067,1.0,0.0
smoke_seed0,lstm,CARLA,6,1,48.65550080133128,6.656113193765277,0.26666666666666666,0.8684764773291952,0.0,8,1.0,0.9999999970267917,0.0,0.6196930266570511,1.0,0.0
smoke_seed0,lstm,CARLA,7,1,27.14899811624259,4.903066395849323,0.5,0.6613639622347721,0.0,15,1.0,0.9999999921976117,0.0,0.7262260928927609,1.0,0.0
smoke_seed0,lstm,CARLA,8,1,26.59272231690301,3.893003762693635,0.26666666666666666,0.7929639364895331,0.0,8,1.0,0.9999999957539063,0.0,0.806196944611604,1.0,0.0
smoke_seed0,lstm,CARLA,9,1,26.333542886312443,3.689166318569451,0.26666666666666666,0.8016824761647602,0.0,8,1.0,0.9999999978493193,0.0,0.7904871908452448,1.0,0.0
smoke_seed0,lstm,CftsCOMTE,0,1,48.57250032353043,4.058280573722172,0.0,0.41038080567859897,0.0,0,0.0,0.6425724461361011,0.0,0.6957161978178014,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,1,1,69.69871134582803,6.135692836703339,0.0,0.6244706090310118,0.0,0,0.0,0.533561840561669,0.0,0.6378814895969708,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,2,1,41.04501675425693,3.4626800581257666,0.0,0.3796073926066534,0.0,0,0.0,0.6711814010651047,0.0,0.7743363883310066,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,3,1,41.03237233238205,3.3755769586047286,0.0,0.3571226055320097,0.0,0,0.0,0.6867274443509714,0.0,0.7598672571844263,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,4,1,25.056286978447314,2.0458449131813428,0.0,0.1825676439489356,0.0,0,0.0,0.7753860793708927,0.0,0.840186638324316,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,5,1,37.297882835893965,3.165951489914428,0.0,0.21921043023314965,0.0,0,0.0,0.7119099774807066,0.0,0.7994697865875894,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,6,1,56.14757176897554,4.7895038491955955,0.0,0.43149981636505425,0.0,0,0.0,0.5814632652950852,0.0,0.6760384021245949,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,7,1,34.139140140815044,2.801363282838016,0.0,0.17686277576588022,0.0,0,0.0,0.7193624343137625,0.0,0.7918093535906318,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,8,1,54.41242368323804,4.6335855191713815,0.0,0.424004019701259,0.0,0,0.0,0.6388262136583981,0.0,0.6804369039196808,0.0,0.0
smoke_seed0,lstm,CftsCOMTE,9,1,67.62322030767659,6.217388289822057,0.0,0.8051854913664286,0.0,0,0.0,0.6167055628910207,0.0,0.6381486691218847,0.0,0.0
smoke_seed0,lstm,CftsWachter,0,1,74.34296114819088,9.548090769847201,0.0,1.7749107754924278,0.0,0,0.0,0.7525996899315468,0.0,0.6364924859768482,0.0,0.0
smoke_seed0,lstm,CftsWachter,1,1,78.41064777262815,8.836322971314463,0.0,0.8892798387374808,0.0,0,0.0,0.7739170148086981,0.0,0.6185184556319484,0.0,0.0
smoke_seed0,lstm,CftsWachter,2,1,54.619085018324725,6.240946691010631,0.0,0.9089900490240415,0.0,0,0.0,0.7323861712179458,0.0,0.7006781413327786,0.0,0.0
smoke_seed0,lstm,CftsWachter,3,1,56.90291593448378,6.795374469554663,0.0,1.3105919431366457,0.0,0,0.0,0.7551794499040286,0.0,0.7090022255549979,0.0,0.0
smoke_seed0,lstm,CftsWachter,4,1,63.94686104260837,7.88562146155935,0.0,1.3760122146428764,0.0,0,0.0,0.7547815146054997,0.0,0.6935636072042964,0.0,0.0
smoke_seed0,lstm,CftsWachter,5,1,63.31652098792628,6.973052286783489,0.0,1.3687889801015352,0.0,0,0.0,0.7371005294110653,0.0,0.7211867290442415,0.0,0.0
smoke_seed0,lstm,CftsWachter,6,1,75.638325603153,9.594528911636923,0.0,1.805255801966429,0.0,0,0.0,0.7535612285010762,0.0,0.6121847798482841,0.0,0.0
smoke_seed0,lstm,CftsWachter,7,1,55.77629258715386,6.779386036149604,0.0,1.5208459738510387,0.0,0,0.0,0.7892670224726934,0.0,0.7050547304083667,0.0,0.0
smoke_seed0,lstm,CftsWachter,8,1,63.97921616455763,7.793379548651929,0.0,1.2703634869724458,0.0,0,0.0,0.7918552164764584,0.0,0.7140863861128811,0.0,0.0
smoke_seed0,lstm,CftsWachter,9,1,61.076682848707094,6.99898588036779,0.0,1.7613636433744013,0.0,0,0.0,0.7012684946158936,0.0,0.6806088968826204,0.0,0.0
