benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke,oracle,OracleCF-Pearl,0,,13.679686682993921,3.30960472887104,0.6533333333333333,0.2,0.5,1.2679771497586039,15,0.0,0.6038320172511819,1.0,0.9999999832344331,,
smoke,oracle,OracleCF-Pearl,1,,3.9854807446117713,2.0657028187573445,0.6933333333333334,0.0,0.5,1.6347901142641872,15,0.0,0.6794959823642878,1.0,0.9999999925817721,,
smoke,oracle,OracleCF-Pearl,2,,23.36385007951909,5.616776800591682,0.6733333333333333,0.2,0.5,1.277064330551393,15,0.0,0.6647365137356872,1.0,0.9999999864787967,,
smoke,oracle,OracleCF-Pearl,3,,43.37222452602098,8.972863045260524,0.64,0.2,0.5,1.0749245392980522,15,0.0,0.7711025764142405,1.0,0.9999999886257432,,
smoke,oracle,OracleCF-Pearl,4,,1.5000011657794132,1.500000016783059,0.9933333333333333,0.8,0.9666666666666667,2.0689651710928443,15,0.0,0.74864045261702,1.0,0.9999999928618178,,
smoke,oracle,OracleCF-Pearl,5,,13.679687347327375,3.309604877034051,0.6533333333333333,0.2,0.5,1.267977130659575,15,0.0,0.8261124876515406,1.0,0.9999999946786221,,
smoke,oracle,OracleCF-Pearl,6,,3.9854807159275873,2.0657028541309206,0.6933333333333334,0.0,0.5,1.6347901516571839,15,0.0,0.8112049665807226,1.0,0.9999999943419208,,
smoke,oracle,OracleCF-Pearl,7,,23.363850391918504,5.616776924644105,0.6733333333333333,0.2,0.5,1.2770643422675547,15,0.0,0.800142662998931,1.0,0.9999999892028567,,
smoke,oracle,OracleCF-Pearl,8,,43.372224061878825,8.972862881378243,0.64,0.2,0.5,1.0749245327990604,15,0.0,0.7900811000430821,1.0,0.9999999814760334,,
smoke,oracle,OracleCF-Pearl,9,,1.5000006933931749,1.4999999640079058,0.9933333333333333,0.8,0.9666666666666667,2.068965376904166,15,0.0,0.7814451082064016,1.0,0.9999999947899381,,
smoke,oracle,OracleCF-Pearl,10,,13.679687451483252,3.3096048569669314,0.6533333333333333,0.2,0.5,1.267977120543747,15,0.0,0.8198953905983999,1.0,0.9999999943273855,,
smoke,oracle,OracleCF-Pearl,11,,3.9854805966392126,2.0657027902178,0.6933333333333334,0.0,0.5,1.6347901839652945,15,0.0,0.8053366479841441,1.0,0.9999999939736253,,
smoke,oracle,OracleCF-Pearl,12,,23.36385038418869,5.616776935355497,0.6733333333333333,0.2,0.5,1.2770643439279743,15,0.0,0.8775320734578191,1.0,0.9999999914177358,,
smoke,oracle,OracleCF-Pearl,13,,43.37222470293036,8.972863056574663,0.64,0.2,0.5,1.0749245409025228,15,0.0,0.7527007352314704,1.0,0.9999999739970591,,
smoke,oracle,OracleCF-Pearl,14,,1.5000011460120721,1.4999999979110685,0.9933333333333333,0.8,0.9666666666666667,2.068965204953244,15,0.0,0.7475083284641337,1.0,0.9999999881904967,,
smoke,oracle,OracleCF-Pearl,15,,13.67968746810418,3.309604854351694,0.6533333333333333,0.2,0.5,1.2679771206554136,15,0.0,0.8298851837761173,1.0,0.9999999903609359,,
smoke,oracle,OracleCF-Pearl,16,,3.985480585215689,2.065702795330369,0.6933333333333334,0.0,0.5,1.634790074919003,15,0.0,0.7280514907772367,1.0,0.999999989889514,,
smoke,oracle,OracleCF-Pearl,17,,23.363849984581076,5.616776765438262,0.6733333333333333,0.2,0.5,1.277064339161023,15,0.0,0.7262260968592833,1.0,0.9999999906416481,,
smoke,oracle,OracleCF-Pearl,18,,43.372224523589914,8.972863010852983,0.64,0.2,0.5,1.0749245437447594,15,0.0,0.842367326723898,1.0,0.9999999768199374,,
smoke,oracle,OracleCF-Pearl,19,,1.5000008370672018,1.5000000335543229,0.9933333333333333,0.8,0.9666666666666667,2.0689653251855336,15,0.0,0.7869398005169227,1.0,0.9999999947548543,,
smoke,oracle,OracleCF-Rollout,0,,35.57398926078364,6.589292307989818,0.5266666666666666,0.0,0.5,1.0310977740782736,15,1.0,0.9999999865718912,0.0,0.6038320288847381,,
smoke,oracle,OracleCF-Rollout,1,,31.253972582614733,5.073395589113526,0.5266666666666666,0.0,0.5,0.9882608616465556,15,1.0,0.9999999969971467,0.0,0.679495983149941,,
smoke,oracle,OracleCF-Rollout,2,,38.01431368221567,6.902720524583168,0.5266666666666666,0.0,0.5,1.670287228630956,15,1.0,0.9999999908188488,0.0,0.6647365191976923,,
smoke,oracle,OracleCF-Rollout,3,,57.84222404212672,10.199114708976671,0.5266666666666666,0.0,0.5,0.9380641968017521,15,1.0,0.9999999907520909,0.0,0.7711025732911113,,
smoke,oracle,OracleCF-Rollout,4,,23.212234082505493,3.8971058820959468,0.5266666666666666,0.0,0.5,1.1401959229087777,15,1.0,0.9999999980005126,0.0,0.7486404534730774,,
smoke,oracle,OracleCF-Rollout,5,,24.314551639947098,4.8401224294587655,0.5266666666666666,0.0,0.5,1.335658074953825,15,1.0,0.999999996128336,0.0,0.8261124894257985,,
smoke,oracle,OracleCF-Rollout,6,,18.92429282000737,3.2551965047713893,0.5266666666666666,0.0,0.5,1.460461808614635,15,1.0,0.9999999974210746,0.0,0.8112049686559676,,
smoke,oracle,OracleCF-Rollout,7,,24.75194714597849,5.729357828666905,0.5333333333333333,0.0,0.5,1.4463179372303285,15,1.0,0.9999999920879753,0.0,0.8001426635483683,,
smoke,oracle,OracleCF-Rollout,8,,36.59927146855163,7.718919152978586,0.5266666666666666,0.0,0.5,1.3256194275967197,15,1.0,0.9999999901121299,0.0,0.7900810854754119,,
smoke,oracle,OracleCF-Rollout,9,,19.99577814156867,3.356064541247322,0.5266666666666666,0.0,0.5,1.3370234194483408,15,1.0,0.9999999979128328,0.0,0.7814451075616661,,
smoke,oracle,OracleCF-Rollout,10,,23.270903440429482,4.578837753035406,0.5266666666666666,0.0,0.5,1.4537652097399645,15,1.0,0.9999999964670507,0.0,0.8198953884677135,,
smoke,oracle,OracleCF-Rollout,11,,20.08395636374001,3.5282391834631444,0.5333333333333333,0.0,0.5,1.6717716568857437,15,1.0,0.9999999969009868,0.0,0.8053366472754282,,
smoke,oracle,OracleCF-Rollout,12,,23.642948142113394,5.355790768542813,0.5333333333333333,0.0,0.5,1.30247029810324,15,1.0,0.9999999940024035,0.0,0.8775320757307039,,
smoke,oracle,OracleCF-Rollout,13,,41.571064956703346,8.494026705005213,0.5266666666666666,0.0,0.5,1.336627990224321,15,1.0,0.9999999805820161,0.0,0.7527007514965458,,
smoke,oracle,OracleCF-Rollout,14,,23.32573751325379,4.187157798613556,0.5266666666666666,0.0,0.5,1.2739352102020602,15,1.0,0.9999999961516695,0.0,0.7475083329969698,,
