benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_nonmonotonic,lstm,CARLA,0,1,13.804061736798964,1.7247586358428209,0.26666666666666666,0.0,0.26666666666666666,0.9039265322547667,8,1.0,0.9999999992179859,0.0,0.8822149862097051,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,1,1,12.765607156636257,1.649271938697467,0.26666666666666666,0.0,0.26666666666666666,1.13220950961195,8,1.0,0.999999998969831,0.0,0.8907993186974421,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,2,1,13.721055875152993,1.7449061386967686,0.26666666666666666,0.0,0.26666666666666666,0.8266005438569737,8,1.0,0.9999999991715969,0.0,0.8827735763486019,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,3,1,13.437963571174185,1.74096452679024,0.26666666666666666,0.0,0.26666666666666666,0.9988081120919803,8,1.0,0.9999999999001645,0.0,0.8858755870963746,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,4,1,13.332353022329428,1.7492624336679092,0.28,0.0,0.26666666666666666,0.9955707631545456,8,1.0,0.9999999994188137,0.0,0.8858724291477487,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,5,1,13.42849596012978,1.5937365493083,0.26666666666666666,0.0,0.26666666666666666,1.0115990417349745,8,1.0,0.9999999996977627,0.0,0.8864588350979719,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,6,1,12.133070545518192,1.5172280647655725,0.2733333333333333,0.0,0.26666666666666666,0.8613592749577138,8,1.0,0.9999999990253304,0.0,0.8968296050179215,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,7,1,12.697863113841692,1.6355231029205182,0.2733333333333333,0.0,0.26666666666666666,0.9687367386550663,8,1.0,0.9999999994258603,0.0,0.8919843395547035,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,8,1,16.31316891414021,2.133151592444095,0.26666666666666666,0.0,0.26666666666666666,0.9571547083216245,8,1.0,0.9999999994324859,0.0,0.8631857713132443,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,9,1,9.451649170164846,1.1867270276964776,0.26666666666666666,0.0,0.26666666666666666,1.1523914024732618,8,1.0,0.9999999992756168,0.0,0.9176775468920395,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,10,1,12.843743172960814,1.8397515587037239,0.28,0.0,0.26666666666666666,1.01459761007367,8,1.0,0.9999999995664337,0.0,0.8919678866187734,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,11,1,18.190637468052948,2.28207125602393,0.26666666666666666,0.0,0.26666666666666666,0.8592699888213385,8,1.0,0.9999999991021361,0.0,0.8478460214948961,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,12,1,14.603406290241317,1.8197544264163543,0.26666666666666666,0.0,0.26666666666666666,0.9730954802833387,8,1.0,0.9999999993990497,0.0,0.8792825385286315,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,13,1,12.417541693097384,1.5729990239825442,0.26666666666666666,0.0,0.26666666666666666,1.0035659925583182,8,1.0,0.9999999996737203,0.0,0.8929532387446167,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,14,1,14.9125803468805,1.8673297619014422,0.28,0.0,0.26666666666666666,0.85331190793207,8,1.0,0.9999999991003171,0.0,0.8751495390396331,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,15,1,16.859742097722155,2.1418898119901875,0.26666666666666666,0.0,0.26666666666666666,0.991878641067389,8,1.0,0.9999999995477191,0.0,0.8602450192655386,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,16,1,13.27810506441612,1.6855277529833792,0.26666666666666666,0.0,0.26666666666666666,1.0767273645314246,8,1.0,0.9999999996481526,0.0,0.8878327460581458,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,17,1,14.745553071651598,1.9805687489773751,0.2733333333333333,0.0,0.26666666666666666,1.0177915130796658,8,1.0,0.9999999994744235,0.0,0.8759777613749067,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,18,1,11.898973800614755,1.541990946745293,0.26666666666666666,0.0,0.26666666666666666,1.1334149911158697,8,1.0,0.9999999997503729,0.0,0.8978293242030655,1.0,0.0
smoke_nonmonotonic,lstm,CARLA,19,1,13.044489589151183,1.669656860126461,0.26666666666666666,0.0,0.26666666666666666,1.0998154742026294,8,1.0,0.999999999591938,0.0,0.8896142414167783,1.0,0.0
smoke_nonmonotonic,lstm,CftsCels,0,1,0.39142255679824434,0.24390254308556725,0.9,0.0,0.8,0.7699014193435685,21,0.0,0.8809425297929103,0.0,0.9914494290568248,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,1,1,0.4109293308339654,0.20327375775530887,0.86,0.0,0.7,0.8466085343372951,18,0.0,0.8963317955349094,0.0,0.9932459644716962,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,2,1,2.0826156842348094,0.4792366433377262,0.6733333333333333,0.0,0.16666666666666666,0.9742399243177525,5,0.0,0.8967757802915688,0.0,0.9835700153751474,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,3,1,0.5302907970659612,0.33630615681058734,0.8666666666666667,0.0,0.7,0.871931339397769,21,0.0,0.9249279506221115,0.0,0.9885036486354687,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,4,1,0.35562826916180434,0.12710137259768658,0.8,0.0,0.36666666666666664,1.0283358524562147,8,0.0,0.8880971792978711,0.0,0.9968657504790118,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,5,1,0.21224917996810566,0.11428532005183749,0.9,0.0,0.8,0.762150479161948,23,0.0,0.892975535033926,0.0,0.9942555612855756,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,6,1,0.45758647534040564,0.26814819572615284,0.8533333333333334,0.0,0.6333333333333333,0.752006997600089,16,0.0,0.8954011150535806,0.0,0.9935496937046638,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,7,1,0.6530440067682983,0.13810509314244646,0.5666666666666667,0.0,0.06666666666666667,0.8375300522361402,1,0.0,0.8925952343481921,0.0,0.9955288790646168,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,8,1,0.2546895856575904,0.1674380860070287,0.8933333333333333,0.0,0.7666666666666667,1.0463218519283615,22,0.0,0.8561013979004914,0.0,0.9938584333998788,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,9,1,0.40235319593222824,0.26187034886468646,0.8666666666666667,0.0,0.7,0.9867963265534326,19,0.0,0.9136527356426984,0.0,0.9927886862722015,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,10,1,0.3045481702556252,0.2020272857364068,0.9,0.0,0.7666666666666667,0.8366654673048638,14,0.0,0.9023766187746538,0.0,0.9962351036214098,0.0,0.0
smoke_nonmonotonic,lstm,CftsCels,11,1,0.9813338616231165,0.25377336735444145,0.8466666666666667,0.2,0.6333333333333333,1.4081372070468545,17,0.0,0.8770469872929084,0.0,0.9850888628224548,0.0,0.0
