benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_seed2,lstm,CARLA,0,0,153.3871758484971,7.9237024634693665,0.256,0.0,0.25,1.3259062180693413,25,0,1.0,0.9999999979029702,0.0,0.8150395704249177,0.0,0.0
full_seed2,lstm,CARLA,1,0,159.54196299306324,8.33450865001617,0.257,0.0,0.25,1.2588782873256543,25,0,1.0,0.9999999976933568,0.0,0.8084751742490965,0.0,0.0
full_seed2,lstm,CARLA,2,0,136.0989936522399,7.01803774527496,0.258,0.0,0.25,1.3870279655893905,25,0,1.0,0.9999999985575206,0.0,0.8340733244617843,0.0,0.0
full_seed2,lstm,CARLA,3,0,130.77627917699635,6.561544273025391,0.257,0.0,0.25,1.3155626696042395,25,0,1.0,0.9999999987796335,0.0,0.8399722838014352,0.0,0.0
full_seed2,lstm,CARLA,4,0,151.49368161964867,7.407101457175057,0.254,0.0,0.25,1.4106835478425415,25,0,1.0,0.9999999975767999,0.0,0.8171366379507626,0.0,0.0
full_seed2,lstm,CARLA,5,0,149.70882493943617,7.648265666212445,0.255,0.0,0.25,1.3326375759671294,25,0,1.0,0.9999999968032269,0.0,0.8191425571284523,0.0,0.0
full_seed2,lstm,CARLA,6,0,117.55937201924255,5.858717540965877,0.258,0.0,0.25,1.3799129543777169,25,0,1.0,0.9999999981976868,0.0,0.8549134263427489,0.0,0.0
full_seed2,lstm,CARLA,7,0,143.07936581771685,6.996468901847157,0.255,0.0,0.25,1.302804573869854,25,0,1.0,0.9999999990045216,0.0,0.8262598244142626,0.0,0.0
full_seed2,lstm,CARLA,8,0,141.9495573752237,7.129974761737927,0.254,0.0,0.25,1.3959756895099387,25,0,1.0,0.9999999981330708,0.0,0.8275594782462563,0.0,0.0
full_seed2,lstm,CARLA,9,0,155.64459865286182,8.04417294269416,0.256,0.0,0.25,1.2418092040655404,25,0,1.0,0.9999999973467386,0.0,0.8125937962821783,0.0,0.0
full_seed2,lstm,CARLA,10,0,131.88821156198873,6.609317337173568,0.255,0.0,0.25,1.3806549641175645,25,0,1.0,0.9999999990716733,0.0,0.8387347932224162,0.0,0.0
full_seed2,lstm,CARLA,11,0,136.15845950265492,6.623395384700342,0.26,0.0,0.25,1.4766598196894978,25,0,1.0,0.9999999988690733,0.0,0.8339571499654012,0.0,0.0
