benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,trsi,ivr,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_regime,lstm,CARLA,0,1,7.167758540904089,1.1528831182851722,0.5,0.17863812457381348,0.0,15,1.0,0.9999999990900352,0.0,0.9148339672972718,1.0,0.0
smoke_regime,lstm,CARLA,1,1,8.292161978235656,1.3278337695829459,0.5,0.23074263631208977,0.0,15,1.0,0.9999999988738915,0.0,0.9009944852571244,1.0,0.0
smoke_regime,lstm,CARLA,2,1,12.084334627645072,1.7462304500078838,0.26666666666666666,0.3308336559822563,0.0,8,1.0,0.9999999997915201,0.0,0.8957101847578571,1.0,0.0
smoke_regime,lstm,CARLA,3,1,12.081244665374584,1.553367509027674,0.26666666666666666,0.28167756486595846,0.0,8,1.0,0.9999999993839797,0.0,0.8963363078001162,1.0,0.0
smoke_regime,lstm,CARLA,4,1,8.062718797414842,1.2913226143490604,0.5,0.20395234403105514,0.0,15,1.0,0.9999999993209983,0.0,0.901806089989074,1.0,0.0
smoke_regime,lstm,CARLA,5,1,11.868252461760962,1.5780167795978195,0.26666666666666666,0.303205371181403,0.0,8,1.0,0.9999999997438765,0.0,0.8995661682513928,1.0,0.0
smoke_regime,lstm,CARLA,6,1,13.102185511851005,1.7235159414588994,0.26666666666666666,0.3095716984335317,0.0,8,1.0,0.9999999986662751,0.0,0.8938380161545781,1.0,0.0
smoke_regime,lstm,CARLA,7,1,7.756866595491966,1.3123489572971085,0.5,0.20259397885936473,0.0,15,1.0,0.9999999995571404,0.0,0.9038313824122917,1.0,0.0
smoke_regime,lstm,CARLA,8,1,9.865897237085605,1.4052339894339,0.26666666666666666,0.2697480182691887,0.0,8,1.0,0.9999999983456576,0.0,0.9170527930065685,1.0,0.0
smoke_regime,lstm,CARLA,9,1,7.70200989046693,1.2071541415599958,0.5,0.17665504590692732,0.0,15,1.0,0.9999999993219615,0.0,0.904036050867083,1.0,0.0
smoke_regime,lstm,CftsCels,0,1,0.32541486493000693,0.11491986521642297,0.3933333333333333,0.009589729091078865,0.0,2,0.0,0.9125666383551373,0.0,0.9977053894586762,0.0,0.0
smoke_regime,lstm,CftsCels,1,1,0.2642561944112748,0.11402111214037233,0.02,0.007551418615812979,0.0,13,0.0,0.9026158700365268,0.0,0.9970428668635627,0.0,0.0
smoke_regime,lstm,CftsCels,2,1,0.20732885911231935,0.061988212595297035,0.013333333333333334,0.004768710398410448,0.0,3,0.0,0.8983828790101285,0.0,0.9984832161184158,0.0,0.0
smoke_regime,lstm,CftsCels,3,1,0.24678611851285023,0.09332935553137056,0.02,0.006257324704106346,0.0,11,0.0,0.9017970651317334,0.0,0.997512805675338,0.0,0.0
smoke_regime,lstm,CftsCels,4,1,0.44012233254947486,0.2022057838751191,0.02666666666666667,0.010870202447665955,0.0,6,0.0,0.908195873046587,0.0,0.9964108696736941,0.0,0.0
smoke_regime,lstm,CftsCels,5,1,0.36722670999986096,0.12276755963475768,0.013333333333333334,0.009811978536476751,0.0,1,0.0,0.8946988081979966,0.0,0.9975000501877265,0.0,0.0
smoke_regime,lstm,CftsCels,6,1,0.7527309132786868,0.1488695683039398,0.58,0.02255821216452711,0.0,1,0.0,0.895931701785349,0.0,0.9949049165827288,0.0,0.0
smoke_regime,lstm,CftsCels,7,1,0.5091051907563768,0.296813376171574,0.03333333333333333,0.017724885585893073,0.0,8,0.0,0.896649823594331,0.0,0.9954572765809141,0.0,0.0
smoke_regime,lstm,CftsCels,8,1,2.3976580120121587,0.45259475474430794,0.4533333333333333,0.07744499837849178,0.0,3,0.0,0.9127126660962169,0.0,0.9829037477670822,0.0,0.0
smoke_regime,lstm,CftsCels,9,1,0.449529406706456,0.2870628243315992,0.02,0.01578672781192769,0.0,7,0.0,0.9070324733159465,0.0,0.9961518625653807,0.0,0.0
smoke_regime,lstm,CftsCOMTE,0,1,33.12179748830255,2.706197540658249,0.0,0.31827397814762187,0.0,0,0.0,0.803992873040383,0.0,0.8132505114696188,0.0,0.0
smoke_regime,lstm,CftsCOMTE,1,1,25.051380744104154,2.045436690764287,0.0,0.1887752138052485,0.0,0,0.0,0.8481669158403827,0.0,0.854549440310768,0.0,0.0
smoke_regime,lstm,CftsCOMTE,2,1,25.0563772243269,2.0458470496182413,0.0,0.20366255537861724,0.0,0,0.0,0.8374222334171859,0.0,0.855033575005782,0.0,0.0
smoke_regime,lstm,CftsCOMTE,3,1,32.67592521325646,2.6803011401063594,0.0,0.27226776158078037,0.0,0,0.0,0.8121681799012217,0.0,0.8135111838726914,0.0,0.0
smoke_regime,lstm,CftsCOMTE,4,1,30.863027679499538,2.622195154072334,0.0,0.3021050311168201,0.0,0,0.0,0.8235618654541225,0.0,0.825095498667529,0.0,0.0
smoke_regime,lstm,CftsCOMTE,5,1,25.051892539001017,2.0454785874832146,0.0,0.1629720112053699,0.0,0,0.0,0.8250293413864713,0.0,0.8550315136496962,0.0,0.0
smoke_regime,lstm,CftsCOMTE,6,1,25.052722463962052,2.0455475464757504,0.0,0.22452131935966665,0.0,0,0.0,0.8206729091197575,0.0,0.8495051982211966,0.0,0.0
smoke_regime,lstm,CftsCOMTE,7,1,32.73601788751982,2.68002079684512,0.0,0.3252850724360498,0.0,0,0.0,0.8116733722705478,0.0,0.8140813790617111,0.0,0.0
