benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,trsi,ivr,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_nl,oracle,OracleCF-Pearl,0,,5.870678493729436,2.1007347555484355,0.6266666666666667,0.10505047219854304,0.0,15,0.0,0.9176795850760695,1.0,0.9999999962091572,,
smoke_nl,oracle,OracleCF-Pearl,1,,3.9179489362330546,1.8029144870045033,0.5466666666666666,0.10402446618093153,0.0,15,0.0,0.8802454051011218,1.0,0.9999999968100208,,
smoke_nl,oracle,OracleCF-Pearl,2,,3.2448790745720264,1.6485218891257387,0.6333333333333333,0.10602076206136933,0.0,15,0.0,0.8846614879173631,1.0,0.9999999966680639,,
smoke_nl,oracle,OracleCF-Pearl,3,,3.0971097309901126,1.6822368624865593,0.6266666666666667,0.10386244271147972,0.0,15,0.0,0.9025692363435837,1.0,0.999999997195906,,
smoke_nl,oracle,OracleCF-Pearl,4,,3.6325321740015584,1.8531375529800675,0.9,0.10341830358185786,0.0,15,0.0,0.8782609797680722,1.0,0.9999999964590075,,
smoke_nl,oracle,OracleCF-Pearl,5,,5.834307740030582,2.098177525311596,0.6266666666666667,0.10488975776770357,0.0,15,0.0,0.8966793421805821,1.0,0.9999999965667261,,
smoke_nl,oracle,OracleCF-Pearl,6,,3.914068729149812,1.802818642107516,0.5466666666666666,0.10401576771680797,0.0,15,0.0,0.8830212905840922,1.0,0.9999999964712823,,
smoke_nl,oracle,OracleCF-Pearl,7,,3.2475144724540534,1.6486847573784276,0.6333333333333333,0.10603696835827939,0.0,15,0.0,0.8393983265570052,1.0,0.9999999956489192,,
smoke_nl,oracle,OracleCF-Pearl,8,,3.096661202703249,1.6822307559865601,0.6266666666666667,0.10386167498222806,0.0,15,0.0,0.9077110520181705,1.0,0.9999999968793502,,
smoke_nl,oracle,OracleCF-Pearl,9,,3.632532122890436,1.8531375138241593,0.9,0.10341830521941885,0.0,15,0.0,0.8789456880048458,1.0,0.9999999967895029,,
smoke_nl,oracle,OracleCF-Pearl,10,,5.870868501834408,2.1007510517889627,0.6266666666666667,0.1050523318422561,0.0,15,0.0,0.8890074846836274,1.0,0.9999999976299461,,
smoke_nl,oracle,OracleCF-Pearl,11,,3.916436615767046,1.8028672965844383,0.5466666666666666,0.10402048934309492,0.0,15,0.0,0.8976364963537936,1.0,0.9999999973589099,,
smoke_nl,oracle,OracleCF-Pearl,12,,3.246163015860731,1.6485795971112431,0.6333333333333333,0.10602583524246445,0.0,15,0.0,0.8930198757710228,1.0,0.9999999971565788,,
smoke_nl,oracle,OracleCF-Pearl,13,,3.096141818876318,1.6822294182840993,0.6266666666666667,0.10385993623772662,0.0,15,0.0,0.9064826751420493,1.0,0.9999999976795029,,
smoke_nl,oracle,OracleCF-Pearl,14,,3.6325321857578223,1.8531375248890327,0.9,0.10341830337070715,0.0,15,0.0,0.8860163314507827,1.0,0.9999999959161636,,
smoke_nl,oracle,OracleCF-Pearl,15,,5.868800565187055,2.1006133542000645,0.6266666666666667,0.10504703775815749,0.0,15,0.0,0.8942484380451542,1.0,0.9999999960355196,,
smoke_nl,oracle,OracleCF-Pearl,16,,3.9100150598645396,1.8027177395040879,0.5466666666666666,0.10400705470835905,0.0,15,0.0,0.855365086793358,1.0,0.9999999962922893,,
smoke_nl,oracle,OracleCF-Pearl,17,,3.2490964602936887,1.6486901061014356,0.6333333333333333,0.1060374117568605,0.0,15,0.0,0.9095071587058481,1.0,0.9999999974954581,,
smoke_nl,oracle,OracleCF-Pearl,18,,3.097054093565056,1.682245020192781,0.6266666666666667,0.10386168596948511,0.0,15,0.0,0.8976400929478967,1.0,0.9999999977644942,,
smoke_nl,oracle,OracleCF-Pearl,19,,3.632532166423121,1.8531375622362882,0.9,0.10341830728835047,0.0,15,0.0,0.8969971321050054,1.0,0.9999999968031452,,
smoke_nl,oracle,OracleCF-Rollout,0,,10.899411810390864,2.4906317376959786,0.5266666666666666,0.21223307055481155,0.0,15,1.0,0.9999999983853403,0.0,0.9176795833542395,,
smoke_nl,oracle,OracleCF-Rollout,1,,12.440011327448778,2.2363317297741756,0.5266666666666666,0.23333732999373633,0.0,15,1.0,0.9999999990515359,0.0,0.8802454046137476,,
smoke_nl,oracle,OracleCF-Rollout,2,,10.804199475613173,2.0580450894188633,0.5266666666666666,0.24279810729867451,0.0,15,1.0,0.9999999994551436,0.0,0.8846614880254892,,
smoke_nl,oracle,OracleCF-Rollout,3,,10.327739704447067,2.0788412464495165,0.5266666666666666,0.25888881690390125,0.0,15,1.0,0.9999999991194376,0.0,0.9025692357285373,,
smoke_nl,oracle,OracleCF-Rollout,4,,11.572941665861336,2.2007929513107105,0.5266666666666666,0.24674731526482863,0.0,15,1.0,0.9999999992013596,0.0,0.8782609815736022,,
smoke_nl,oracle,OracleCF-Rollout,5,,12.046070115643408,2.339486811307883,0.5266666666666666,0.22123108434552471,0.0,15,1.0,0.9999999981754054,0.0,0.8966793432535674,,
smoke_nl,oracle,OracleCF-Rollout,6,,11.949563785376574,2.363725273754633,0.5266666666666666,0.24349910000157426,0.0,15,1.0,0.9999999987227124,0.0,0.8830212906716594,,
smoke_nl,oracle,OracleCF-Rollout,7,,15.028049538100003,2.9625565713535287,0.5266666666666666,0.2526575577901658,0.0,15,1.0,0.9999999991137115,0.0,0.8393983258009444,,
smoke_nl,oracle,OracleCF-Rollout,8,,9.771980781077001,2.152149775029888,0.5266666666666666,0.24113608712656312,0.0,15,1.0,0.9999999989650936,0.0,0.9077110520705356,,
smoke_nl,oracle,OracleCF-Rollout,9,,12.929865141002457,2.4320976948705315,0.5266666666666666,0.2381335202479905,0.0,15,1.0,0.9999999985092385,0.0,0.8789456880646701,,
smoke_nl,oracle,OracleCF-Rollout,10,,14.415941171412955,2.7062925069875483,0.5266666666666666,0.22615927101507688,0.0,15,1.0,0.9999999988612485,0.0,0.8890074838241271,,
smoke_nl,oracle,OracleCF-Rollout,11,,11.328489726328897,2.2518457119980986,0.5266666666666666,0.19579645451474417,0.0,15,1.0,0.9999999987498414,0.0,0.897636496629837,,
smoke_nl,oracle,OracleCF-Rollout,12,,10.260048553987074,2.130090020160694,0.5266666666666666,0.2372686464123745,0.0,15,1.0,0.9999999991946736,0.0,0.8930198757904455,,
smoke_nl,oracle,OracleCF-Rollout,13,,10.167738348294986,2.1048517918299123,0.5266666666666666,0.24052998801825734,0.0,15,1.0,0.9999999991495029,0.0,0.9064826751025687,,
smoke_nl,oracle,OracleCF-Rollout,14,,11.544340905245761,2.208649184611522,0.5266666666666666,0.23195721334725575,0.0,15,1.0,0.9999999984379954,0.0,0.8860163341827255,,
smoke_nl,oracle,OracleCF-Rollout,15,,13.063156267772502,2.474477437812524,0.5266666666666666,0.22556157845239658,0.0,15,1.0,0.9999999978035455,0.0,0.8942484375336816,,
smoke_nl,oracle,OracleCF-Rollout,16,,14.729486126587135,2.603649587592849,0.5266666666666666,0.29036922392504616,0.0,15,1.0,0.999999998898728,0.0,0.8553650874517134,,
smoke_nl,oracle,OracleCF-Rollout,17,,8.987658031829532,1.9762187646501599,0.5266666666666666,0.21960503687218094,0.0,15,1.0,0.9999999994173583,0.0,0.909507158012585,,
smoke_nl,oracle,OracleCF-Rollout,18,,10.859161093435377,2.105186206678593,0.5266666666666666,0.20629495902021835,0.0,15,1.0,0.9999999993111056,0.0,0.897640093848223,,
smoke_nl,oracle,OracleCF-Rollout,19,,11.10585143112627,2.2409351179158223,0.5266666666666666,0.23453752016775137,0.0,15,1.0,0.999999998339336,0.0,0.8969971308051379,,
