benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
smoke,lstm,CARLA,0,1,1.911400748784935,0.895548896249267,0.9333333333333333,0.0,0.9333333333333333,1.1044672541408889,0.9885446024492106,28,0,1.0,0.9999999983498277,0.0,0.951141484691392,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,1,1,4.002643047671191,1.871443877198798,0.9333333333333333,0.0,0.9333333333333333,1.023915874234559,0.9068409869279905,28,0,1.0,0.9999999900803087,0.0,0.9280791429805703,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,2,1,1.5340349803915119,0.6628662798758075,0.9333333333333333,0.0,0.9333333333333333,1.1163110348201655,0.9299115794674884,28,0,1.0,0.9999999968917734,0.0,0.9263171772242824,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,3,1,1.6003441285011706,0.7187407357033148,0.94,0.0,0.9333333333333333,0.9630273784663985,0.9953914368172652,28,0,1.0,0.9999999977303543,0.0,0.9432534061026042,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,4,1,1.0276380994602747,0.4644024852538209,0.9333333333333333,0.0,0.9333333333333333,0.877250587554916,0.8450450411985362,28,0,1.0,0.9999999977485002,0.0,0.9696915789443616,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,5,1,1.1598170125327616,0.6186639523861547,0.9333333333333333,0.0,0.9333333333333333,1.1249615529725439,0.9646764965900019,28,0,1.0,0.9999999993903687,0.0,0.9827477397024751,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,6,1,2.4274045729240017,1.1940976667313101,0.9333333333333333,0.0,0.9333333333333333,0.9310825001810118,0.9660111968413427,28,0,1.0,0.9999999964154709,0.0,0.9333237646296944,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,7,1,1.1546616780675096,0.5789276193062964,0.9333333333333333,0.0,0.9333333333333333,1.0174722340228772,0.9700697774587957,28,0,1.0,0.9999999956426204,0.0,0.9648776365079667,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,8,1,1.9274542718791965,0.9762970746959201,0.9333333333333333,0.0,0.9333333333333333,1.0664754704894048,0.9603341193557889,28,0,1.0,0.9999999970714641,0.0,0.9488958461144968,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,9,1,2.559280801198491,1.4431123749048187,0.9333333333333333,0.0,0.9333333333333333,1.023890531310766,0.860695333289605,28,0,1.0,0.9999999976994939,0.0,0.9302241582616841,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,10,1,2.0575010807177496,0.9127146970455952,0.9333333333333333,0.0,0.9333333333333333,0.9848428855545208,0.9829420445727878,28,0,1.0,0.999999984126058,0.0,0.9417652073690863,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,11,1,1.8043148645771323,0.9233845055279013,0.9333333333333333,0.0,0.9333333333333333,1.0641193795277382,0.9332335741209491,28,0,1.0,0.999999996738196,0.0,0.9664955643843849,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,12,1,1.2515105470350294,0.5090287078305271,0.9333333333333333,0.0,0.9333333333333333,1.1249888490468076,0.852366410132266,28,0,1.0,0.9999999992175778,0.0,0.9362676582039093,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,13,1,0.9118977619846647,0.41858004275276717,0.94,0.0,0.9333333333333333,1.1595087890549993,0.8555940734585319,28,0,1.0,0.9999999981919353,0.0,0.9623987329674493,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,14,1,0.927999284716672,0.4844028719259963,0.9333333333333333,0.0,0.9333333333333333,1.020785642955287,0.9641169093794393,28,0,1.0,0.9999999958391023,0.0,0.966290081282001,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,15,1,1.2685602623180436,0.632836805560259,0.94,0.0,0.9333333333333333,1.043611120606033,0.9120476883324846,28,0,1.0,0.9999999969920923,0.0,0.968890498167062,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,16,1,2.7245694873129414,1.2450819581108963,0.9333333333333333,0.0,0.9333333333333333,0.9722995199944108,0.9269338619504717,28,0,1.0,0.9999999961951036,0.0,0.9443604042987059,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,17,1,1.0842375682734828,0.5402665180659971,0.9333333333333333,0.0,0.9333333333333333,1.0043961374902886,0.992546753125719,28,0,1.0,0.9999999936868309,0.0,0.9640136108949512,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,18,1,2.4361499649714653,1.1713819795222837,0.9333333333333333,0.0,0.9333333333333333,1.007060498651624,0.857303823430295,28,0,1.0,0.9999999932041593,0.0,0.9479486342580774,1.0,0.0,2,28,29,1
smoke,lstm,CARLA,19,1,2.0776688386808604,1.052563753150137,0.9333333333333333,0.0,0.9333333333333333,1.006724431696506,0.8881091575876724,28,0,1.0,0.9999999982791593,0.0,0.9269709590656174,1.0,0.0,2,28,29,1
